donor_id,acceptor_id,donor_smiles,acceptor_smiles,lib_id
NBBJYMSMWIIQGU-UHFFFAOYSA-N,NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O,CCC=O,15
AMIMRNSIRUDHCM-UHFFFAOYSA-N,AMIMRNSIRUDHCM-UHFFFAOYSA-N,CC(C)C=O,CC(C)C=O,16
SMQUZDBALVYZAC-UHFFFAOYSA-N,SMQUZDBALVYZAC-UHFFFAOYSA-N,C1=CC=C(C(=C1)C=O)O,C1=CC=C(C(=C1)C=O)O,17
KSMVZQYAVGTKIV-UHFFFAOYSA-N,KSMVZQYAVGTKIV-UHFFFAOYSA-N,CCCCCCCCCC=O,CCCCCCCCCC=O,18
CLUWOWRTHNNBBU-UHFFFAOYSA-N,CLUWOWRTHNNBBU-UHFFFAOYSA-N,CSCCC=O,CSCCC=O,19
CBOQJANXLMLOSS-UHFFFAOYSA-N,CBOQJANXLMLOSS-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)C=O)O,CCOC1=C(C=CC(=C1)C=O)O,20
DTUQWGWMVIHBKE-UHFFFAOYSA-N,DTUQWGWMVIHBKE-UHFFFAOYSA-N,C1=CC=C(C=C1)CC=O,C1=CC=C(C=C1)CC=O,21
NGVDGCNFYWLIFO-UHFFFAOYSA-N,NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,22
SDQFDHOLCGWZPU-UHFFFAOYSA-N,SDQFDHOLCGWZPU-UHFFFAOYSA-N,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,23
BYGQBDHUGHBGMD-UHFFFAOYSA-N,BYGQBDHUGHBGMD-UHFFFAOYSA-N,CCC(C)C=O,CCC(C)C=O,24
ZFNVDHOSLNRHNN-UHFFFAOYSA-N,ZFNVDHOSLNRHNN-UHFFFAOYSA-N,CC(C)C1=CC=C(C=C1)CC(C)C=O,CC(C)C1=CC=C(C=C1)CC(C)C=O,25
NUJGJRNETVAIRJ-UHFFFAOYSA-N,NUJGJRNETVAIRJ-UHFFFAOYSA-N,CCCCCCCC=O,CCCCCCCC=O,26
FXLOVSHXALFLKQ-UHFFFAOYSA-N,FXLOVSHXALFLKQ-UHFFFAOYSA-N,CC1=CC=C(C=C1)C=O,CC1=CC=C(C=C1)C=O,27
HGBOYTHUEUWSSQ-UHFFFAOYSA-N,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,CCCCC=O,CCCCC=O,28
SATCULPHIDQDRE-UHFFFAOYSA-N,SATCULPHIDQDRE-UHFFFAOYSA-N,C1OC2=C(O1)C=C(C=C2)C=O,C1OC2=C(O1)C=C(C=C2)C=O,29
OLNJUISKUQQNIM-UHFFFAOYSA-N,OLNJUISKUQQNIM-UHFFFAOYSA-N,C1=CC=C2C(=C1)C(=CN2)C=O,C1=CC=C2C(=C1)C(=CN2)C=O,30
IAJBQAYHSQIQRE-UHFFFAOYSA-N,IAJBQAYHSQIQRE-UHFFFAOYSA-N,COC1=CC(=C(C=C1C=O)OC)OC,COC1=CC(=C(C=C1C=O)OC)OC,31
HFJRKMMYBMWEAD-UHFFFAOYSA-N,HFJRKMMYBMWEAD-UHFFFAOYSA-N,CCCCCCCCCCCC=O,CCCCCCCCCCCC=O,32
QSKPIOLLBIHNAC-UHFFFAOYSA-N,QSKPIOLLBIHNAC-UHFFFAOYSA-N,C(C=O)Cl,C(C=O)Cl,33
MNQZXJOMYWMBOU-UHFFFAOYSA-N,MNQZXJOMYWMBOU-UHFFFAOYSA-N,C(C(C=O)O)O,C(C(C=O)O)O,34
MBLBDJOUHNCFQT-LXGUWJNJSA-N,MBLBDJOUHNCFQT-LXGUWJNJSA-N,CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,35
HFFLGKNGCAIQMO-UHFFFAOYSA-N,HFFLGKNGCAIQMO-UHFFFAOYSA-N,C(=O)C(Cl)(Cl)Cl,C(=O)C(Cl)(Cl)Cl,36
QJZUKDFHGGYHMC-UHFFFAOYSA-N,QJZUKDFHGGYHMC-UHFFFAOYSA-N,C1=CC(=CN=C1)C=O,C1=CC(=CN=C1)C=O,37
MRLGCTNJRREZHZ-UHFFFAOYSA-N,MRLGCTNJRREZHZ-UHFFFAOYSA-N,C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,38
NWQWQKUXRJYXFH-UHFFFAOYSA-N,NWQWQKUXRJYXFH-UHFFFAOYSA-N,C(=O)C(Cl)Cl,C(=O)C(Cl)Cl,39
