donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,donor_canon,acceptor_canon,new_scaffold_split_721
CKEGBCXWYHPILX-HNNXBMFYSA-N,MZJVUUVZTMQLHW-UHFFFAOYSA-N,C1[C@@](C2(CN1C(=O)OCC3=CC=CC=C3)COC2)(C=O)F,CC(C)(C)C1=CC=C(C=C1)SCC=O,CBZ3-P-4857C2B6610D551C,train,A_donor_B_acceptor,aliphatic__aliphatic,O=C[C@@]1(F)CN(C(=O)OCc2ccccc2)CC12COC2,CC(C)(C)c1ccc(SCC=O)cc1,train
MZJVUUVZTMQLHW-UHFFFAOYSA-N,CKEGBCXWYHPILX-HNNXBMFYSA-N,CC(C)(C)C1=CC=C(C=C1)SCC=O,C1[C@@](C2(CN1C(=O)OCC3=CC=CC=C3)COC2)(C=O)F,CBZ3-P-4857C2B6610D551C,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)(C)c1ccc(SCC=O)cc1,O=C[C@@]1(F)CN(C(=O)OCc2ccccc2)CC12COC2,train
DEGPNPNYHFVYEQ-MRVPVSSYSA-N,MNELUXCWSJSFML-UHFFFAOYSA-N,C=CC[C@@]1(CCOC1=O)C=O,B1(OC(C(O1)(C)C)(C)C)C(=C)C(C)(CCOC2=CC=C(C=C2)I)C=O,CBZ3-P-BDDACFC29CD55D6E,train,A_donor_B_acceptor,aliphatic__aliphatic,C=CC[C@]1(C=O)CCOC1=O,C=C(B1OC(C)(C)C(C)(C)O1)C(C)(C=O)CCOc1ccc(I)cc1,validation
MNELUXCWSJSFML-UHFFFAOYSA-N,DEGPNPNYHFVYEQ-MRVPVSSYSA-N,B1(OC(C(O1)(C)C)(C)C)C(=C)C(C)(CCOC2=CC=C(C=C2)I)C=O,C=CC[C@@]1(CCOC1=O)C=O,CBZ3-P-BDDACFC29CD55D6E,train,B_donor_A_acceptor,aliphatic__aliphatic,C=C(B1OC(C)(C)C(C)(C)O1)C(C)(C=O)CCOc1ccc(I)cc1,C=CC[C@]1(C=O)CCOC1=O,validation
RMFRJTNXBFQXQO-UHFFFAOYSA-N,XFEXBAHWZHVIGE-UHFFFAOYSA-N,CC(C)[Si](C(C)C)(C(C)C)OCC1=CC=CC=C1CCC=O,COC1=CC(=C(C(=C1OC)CCC=O)F)Cl,CBZ3-P-0F33FB4C3074305E,train,A_donor_B_acceptor,aliphatic__aliphatic,CC(C)[Si](OCc1ccccc1CCC=O)(C(C)C)C(C)C,COc1cc(Cl)c(F)c(CCC=O)c1OC,train
XFEXBAHWZHVIGE-UHFFFAOYSA-N,RMFRJTNXBFQXQO-UHFFFAOYSA-N,COC1=CC(=C(C(=C1OC)CCC=O)F)Cl,CC(C)[Si](C(C)C)(C(C)C)OCC1=CC=CC=C1CCC=O,CBZ3-P-0F33FB4C3074305E,train,B_donor_A_acceptor,aliphatic__aliphatic,COc1cc(Cl)c(F)c(CCC=O)c1OC,CC(C)[Si](OCc1ccccc1CCC=O)(C(C)C)C(C)C,train
JRAXVQOVDTXCDU-LLVKDONJSA-N,XOGIFCAGQBTOQE-UEWDXFNNSA-N,CC(C)(C)OC(=O)N[C@@H](COC1=C(C=C(C=C1)F)NC)C=O,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])C1=CC=CC=C1,CBZ3-P-24D9814828F0605A,train,A_donor_B_acceptor,aliphatic__aliphatic,CNc1cc(F)ccc1OC[C@@H](C=O)NC(=O)OC(C)(C)C,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,train
XOGIFCAGQBTOQE-UEWDXFNNSA-N,JRAXVQOVDTXCDU-LLVKDONJSA-N,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])C1=CC=CC=C1,CC(C)(C)OC(=O)N[C@@H](COC1=C(C=C(C=C1)F)NC)C=O,CBZ3-P-24D9814828F0605A,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])c1ccccc1,CNc1cc(F)ccc1OC[C@@H](C=O)NC(=O)OC(C)(C)C,train
KTMQFFMAXYYTDS-UHFFFAOYSA-N,UDVWLVFNKCQMNL-UHFFFAOYSA-N,CC(C=O)C1=C(C(=CC=C1)Cl)F,COC1=C(C=C(C=C1)C2(CC3(C2)OCCO3)C=O)OC4CCCC4,CBZ3-P-A6FA8C3905895B95,train,A_donor_B_acceptor,aliphatic__aliphatic,CC(C=O)c1cccc(Cl)c1F,COc1ccc(C2(C=O)CC3(C2)OCCO3)cc1OC1CCCC1,mixed
UDVWLVFNKCQMNL-UHFFFAOYSA-N,KTMQFFMAXYYTDS-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2(CC3(C2)OCCO3)C=O)OC4CCCC4,CC(C=O)C1=C(C(=CC=C1)Cl)F,CBZ3-P-A6FA8C3905895B95,train,B_donor_A_acceptor,aliphatic__aliphatic,COc1ccc(C2(C=O)CC3(C2)OCCO3)cc1OC1CCCC1,CC(C=O)c1cccc(Cl)c1F,mixed
RQHDTKDDPYVTJD-UHFFFAOYSA-N,YNHHWMKLVXICCO-UHFFFAOYSA-N,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OC(CF)(C=O)F,C1CCOC(C1)OCC(CC=O)C(F)(F)F,CBZ3-P-21C44DDAAD95A66D,train,A_donor_B_acceptor,aliphatic__aliphatic,O=CC(F)(CF)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],O=CCC(COC1CCCCO1)C(F)(F)F,train
YNHHWMKLVXICCO-UHFFFAOYSA-N,RQHDTKDDPYVTJD-UHFFFAOYSA-N,C1CCOC(C1)OCC(CC=O)C(F)(F)F,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OC(CF)(C=O)F,CBZ3-P-21C44DDAAD95A66D,train,B_donor_A_acceptor,aliphatic__aliphatic,O=CCC(COC1CCCCO1)C(F)(F)F,O=CC(F)(CF)Oc1ccc([N+](=O)[O-])cc1[N+](=O)[O-],train
BSUSHTPSMGKZKK-UHFFFAOYSA-N,KTBGQPYIHSZPIM-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC1(CC(C1)(F)F)C=O,C=CC1CCCC1C=O,CBZ3-P-77A33D03122F5FE8,train,A_donor_B_acceptor,aliphatic__aliphatic,CC(C)(C)OC(=O)NC1(C=O)CC(F)(F)C1,C=CC1CCCC1C=O,train
KTBGQPYIHSZPIM-UHFFFAOYSA-N,BSUSHTPSMGKZKK-UHFFFAOYSA-N,C=CC1CCCC1C=O,CC(C)(C)OC(=O)NC1(CC(C1)(F)F)C=O,CBZ3-P-77A33D03122F5FE8,train,B_donor_A_acceptor,aliphatic__aliphatic,C=CC1CCCC1C=O,CC(C)(C)OC(=O)NC1(C=O)CC(F)(F)C1,train
MXQOBFWZBIXBHB-RXABAKJHSA-N,VNEBKCDPIYCYLU-UHFFFAOYSA-N,C[C@@H]1[C@H](O[C@H]2[C@@H]([C@H]1OCC3=CC=CC=C3)N=C(S2)N(CCF)C(=O)OC(C)(C)C)C=O,C1CC(CCC1F)(C=O)O,CBZ3-P-BF68BF99EC42096D,train,A_donor_B_acceptor,aliphatic__aliphatic,C[C@H]1[C@H](OCc2ccccc2)[C@H]2N=C(N(CCF)C(=O)OC(C)(C)C)S[C@H]2O[C@@H]1C=O,O=CC1(O)CCC(F)CC1,mixed
VNEBKCDPIYCYLU-UHFFFAOYSA-N,MXQOBFWZBIXBHB-RXABAKJHSA-N,C1CC(CCC1F)(C=O)O,C[C@@H]1[C@H](O[C@H]2[C@@H]([C@H]1OCC3=CC=CC=C3)N=C(S2)N(CCF)C(=O)OC(C)(C)C)C=O,CBZ3-P-BF68BF99EC42096D,train,B_donor_A_acceptor,aliphatic__aliphatic,O=CC1(O)CCC(F)CC1,C[C@H]1[C@H](OCc2ccccc2)[C@H]2N=C(N(CCF)C(=O)OC(C)(C)C)S[C@H]2O[C@@H]1C=O,mixed
FALODJPKPCMAQC-UHFFFAOYSA-N,QVHLXIBNXIMQJA-UHFFFAOYSA-N,CN(C)C(CC1=CNC2=C1C(=CC=C2)[N+](=O)[O-])C(=O)N(C)C(CC3=C(C(=CC=C3)O)F)C=O,C1=C(C(=NC(=N1)N)C(CBr)C=O)F,CBZ3-P-C69A1C271932D265,train,A_donor_B_acceptor,aliphatic__aliphatic,CN(C)C(Cc1c[nH]c2cccc([N+](=O)[O-])c12)C(=O)N(C)C(C=O)Cc1cccc(O)c1F,Nc1ncc(F)c(C(C=O)CBr)n1,mixed
QVHLXIBNXIMQJA-UHFFFAOYSA-N,FALODJPKPCMAQC-UHFFFAOYSA-N,C1=C(C(=NC(=N1)N)C(CBr)C=O)F,CN(C)C(CC1=CNC2=C1C(=CC=C2)[N+](=O)[O-])C(=O)N(C)C(CC3=C(C(=CC=C3)O)F)C=O,CBZ3-P-C69A1C271932D265,train,B_donor_A_acceptor,aliphatic__aliphatic,Nc1ncc(F)c(C(C=O)CBr)n1,CN(C)C(Cc1c[nH]c2cccc([N+](=O)[O-])c12)C(=O)N(C)C(C=O)Cc1cccc(O)c1F,mixed
SVUFKEBDWUZPPG-UHFFFAOYSA-N,YOJNEVMYFGUBLO-UHFFFAOYSA-N,CC1=C(C(=C(C=C1)F)CCC=O)Cl,CCC1CC(N(N=C1C2=CC(=C(C=C2)OC)OC(F)F)CC3=CC=C(C=C3)NC(=O)CC)C=O,CBZ3-P-C81B775D0ED8DBB7,train,A_donor_B_acceptor,aliphatic__aliphatic,Cc1ccc(F)c(CCC=O)c1Cl,CCC(=O)Nc1ccc(CN2N=C(c3ccc(OC)c(OC(F)F)c3)C(CC)CC2C=O)cc1,mixed
YOJNEVMYFGUBLO-UHFFFAOYSA-N,SVUFKEBDWUZPPG-UHFFFAOYSA-N,CCC1CC(N(N=C1C2=CC(=C(C=C2)OC)OC(F)F)CC3=CC=C(C=C3)NC(=O)CC)C=O,CC1=C(C(=C(C=C1)F)CCC=O)Cl,CBZ3-P-C81B775D0ED8DBB7,train,B_donor_A_acceptor,aliphatic__aliphatic,CCC(=O)Nc1ccc(CN2N=C(c3ccc(OC)c(OC(F)F)c3)C(CC)CC2C=O)cc1,Cc1ccc(F)c(CCC=O)c1Cl,mixed
CMIJYKIUKSKYAA-IRXDYDNUSA-N,NHVKLYDYFRHGFK-ZETCQYMHSA-N,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCC2=CC=CC=C2,C1=CC(=C(C(=C1)Cl)F)[C@@H](CCN)C=O,CBZ3-P-CD7FF92BCFBA1085,train,A_donor_B_acceptor,aliphatic__aliphatic,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,NCC[C@@H](C=O)c1cccc(Cl)c1F,mixed
NHVKLYDYFRHGFK-ZETCQYMHSA-N,CMIJYKIUKSKYAA-IRXDYDNUSA-N,C1=CC(=C(C(=C1)Cl)F)[C@@H](CCN)C=O,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCC2=CC=CC=C2,CBZ3-P-CD7FF92BCFBA1085,train,B_donor_A_acceptor,aliphatic__aliphatic,NCC[C@@H](C=O)c1cccc(Cl)c1F,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,mixed
DTWPWFKJUFHUEO-UHFFFAOYSA-N,LBBHIWSRXYVQRT-UHFFFAOYSA-N,C1=CC(=CC=C1CC=O)OCC2=CC=C(C=C2)F,C1=CC(=C(C=C1F)C(C(=O)O)O)CCC=O,CBZ3-P-C37563DFF9F815B1,train,A_donor_B_acceptor,aliphatic__aliphatic,O=CCc1ccc(OCc2ccc(F)cc2)cc1,O=CCCc1ccc(F)cc1C(O)C(=O)O,train
LBBHIWSRXYVQRT-UHFFFAOYSA-N,DTWPWFKJUFHUEO-UHFFFAOYSA-N,C1=CC(=C(C=C1F)C(C(=O)O)O)CCC=O,C1=CC(=CC=C1CC=O)OCC2=CC=C(C=C2)F,CBZ3-P-C37563DFF9F815B1,train,B_donor_A_acceptor,aliphatic__aliphatic,O=CCCc1ccc(F)cc1C(O)C(=O)O,O=CCc1ccc(OCc2ccc(F)cc2)cc1,train
NOGYMZTWRJPLOB-UHFFFAOYSA-N,NPJOEZALOGQJPK-UHFFFAOYSA-N,CCOC(=O)C(CC=O)(C1=CC(=C(C=C1)CN)F)O,CC(C)(C=O)OC1=C(C=C(C=C1)C(F)(F)F)[N+](=O)[O-],CBZ3-P-EBDA92CAFC91C6B6,train,A_donor_B_acceptor,aliphatic__aliphatic,CCOC(=O)C(O)(CC=O)c1ccc(CN)c(F)c1,CC(C)(C=O)Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-],train
NPJOEZALOGQJPK-UHFFFAOYSA-N,NOGYMZTWRJPLOB-UHFFFAOYSA-N,CC(C)(C=O)OC1=C(C=C(C=C1)C(F)(F)F)[N+](=O)[O-],CCOC(=O)C(CC=O)(C1=CC(=C(C=C1)CN)F)O,CBZ3-P-EBDA92CAFC91C6B6,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)(C=O)Oc1ccc(C(F)(F)F)cc1[N+](=O)[O-],CCOC(=O)C(O)(CC=O)c1ccc(CN)c(F)c1,train
JNWZDBBAEITYAR-UHFFFAOYSA-N,WWZOHVFRQHRGMZ-IPMKNSEASA-N,CCCCOC1=CC=C(C=C1)C(C=O)(F)F,COC1=CC=C(C=C1)C(=O)OC[C@@H]([C@H]([C@@H](C=O)F)OC(=O)C2=CC=C(C=C2)OC)Br,CBZ3-P-33F973749DD78DEE,train,A_donor_B_acceptor,aliphatic__aliphatic,CCCCOc1ccc(C(F)(F)C=O)cc1,COc1ccc(C(=O)OC[C@H](Br)[C@@H](OC(=O)c2ccc(OC)cc2)[C@H](F)C=O)cc1,mixed
WWZOHVFRQHRGMZ-IPMKNSEASA-N,JNWZDBBAEITYAR-UHFFFAOYSA-N,COC1=CC=C(C=C1)C(=O)OC[C@@H]([C@H]([C@@H](C=O)F)OC(=O)C2=CC=C(C=C2)OC)Br,CCCCOC1=CC=C(C=C1)C(C=O)(F)F,CBZ3-P-33F973749DD78DEE,train,B_donor_A_acceptor,aliphatic__aliphatic,COc1ccc(C(=O)OC[C@H](Br)[C@@H](OC(=O)c2ccc(OC)cc2)[C@H](F)C=O)cc1,CCCCOc1ccc(C(F)(F)C=O)cc1,mixed
AVFZFTHZSNRRNE-GOSISDBHSA-N,FMRNUFSFKBDNPL-FSDSQADBSA-N,C1C=C[C@](C2=C1C=C(C=C2)C3=CC=CC=C3C(F)(F)F)(C=O)NC(=O)O,CCOC(=O)[C@@H]1[C@H]([C@H]1OC(=O)C(=O)OC)C=O,CBZ3-P-3B11226A7145D0A8,train,A_donor_B_acceptor,aliphatic__aliphatic,O=C[C@]1(NC(=O)O)C=CCc2cc(-c3ccccc3C(F)(F)F)ccc21,CCOC(=O)[C@@H]1[C@@H](C=O)[C@H]1OC(=O)C(=O)OC,train
FMRNUFSFKBDNPL-FSDSQADBSA-N,AVFZFTHZSNRRNE-GOSISDBHSA-N,CCOC(=O)[C@@H]1[C@H]([C@H]1OC(=O)C(=O)OC)C=O,C1C=C[C@](C2=C1C=C(C=C2)C3=CC=CC=C3C(F)(F)F)(C=O)NC(=O)O,CBZ3-P-3B11226A7145D0A8,train,B_donor_A_acceptor,aliphatic__aliphatic,CCOC(=O)[C@@H]1[C@@H](C=O)[C@H]1OC(=O)C(=O)OC,O=C[C@]1(NC(=O)O)C=CCc2cc(-c3ccccc3C(F)(F)F)ccc21,train
BRZWVOQTHKLGLO-UHFFFAOYSA-N,NAWBJOPBZGCFLH-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(F)F)OC)C(C)CC=O,C1C(OC(N1C2=CC=C(C=C2)NC(=O)N)C(F)(F)F)C=O,CBZ3-P-F400F7296AB45763,train,A_donor_B_acceptor,aliphatic__aliphatic,COc1c(C(F)F)cc(C)cc1C(C)CC=O,NC(=O)Nc1ccc(N2CC(C=O)OC2C(F)(F)F)cc1,mixed
NAWBJOPBZGCFLH-UHFFFAOYSA-N,BRZWVOQTHKLGLO-UHFFFAOYSA-N,C1C(OC(N1C2=CC=C(C=C2)NC(=O)N)C(F)(F)F)C=O,CC1=CC(=C(C(=C1)C(F)F)OC)C(C)CC=O,CBZ3-P-F400F7296AB45763,train,B_donor_A_acceptor,aliphatic__aliphatic,NC(=O)Nc1ccc(N2CC(C=O)OC2C(F)(F)F)cc1,COc1c(C(F)F)cc(C)cc1C(C)CC=O,mixed
GNQVSBBTYSHJNF-SNVBAGLBSA-N,XEHMQXWRFKKQBL-UHFFFAOYSA-N,CC1=CC(=C(C=C1)N2CC[C@H](C2)C=O)F,CC1=CC2=C(N1CC=O)C=CC(=C2)F,CBZ3-P-D741A10F3F512680,train,A_donor_B_acceptor,aliphatic__aliphatic,Cc1ccc(N2CC[C@@H](C=O)C2)c(F)c1,Cc1cc2cc(F)ccc2n1CC=O,train
XEHMQXWRFKKQBL-UHFFFAOYSA-N,GNQVSBBTYSHJNF-SNVBAGLBSA-N,CC1=CC2=C(N1CC=O)C=CC(=C2)F,CC1=CC(=C(C=C1)N2CC[C@H](C2)C=O)F,CBZ3-P-D741A10F3F512680,train,B_donor_A_acceptor,aliphatic__aliphatic,Cc1cc2cc(F)ccc2n1CC=O,Cc1ccc(N2CC[C@@H](C=O)C2)c(F)c1,train
GAJCJYHEIAQQTL-UHFFFAOYSA-N,QTNZOXUYJRTVKJ-UHFFFAOYSA-N,CCN1C(=CC(=N1)C(=NC(=C)C2=CC(=C(C(=C2)C)CC=O)C)ON)C3=CC=C(C=C3)F,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)C(F)(F)F,CBZ3-P-52178017E8AFD02B,train,A_donor_B_acceptor,aliphatic__aliphatic,C=C(N=C(ON)c1cc(-c2ccc(F)cc2)n(CC)n1)c1cc(C)c(CC=O)c(C)c1,CC(C)(C)OC(=O)NC(C=O)c1ccc(F)cc1C(F)(F)F,mixed
QTNZOXUYJRTVKJ-UHFFFAOYSA-N,GAJCJYHEIAQQTL-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)C(F)(F)F,CCN1C(=CC(=N1)C(=NC(=C)C2=CC(=C(C(=C2)C)CC=O)C)ON)C3=CC=C(C=C3)F,CBZ3-P-52178017E8AFD02B,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)(C)OC(=O)NC(C=O)c1ccc(F)cc1C(F)(F)F,C=C(N=C(ON)c1cc(-c2ccc(F)cc2)n(CC)n1)c1cc(C)c(CC=O)c(C)c1,mixed
SMPDBKFSIRQWRG-UHFFFAOYSA-N,SYVMPECPUVGBCC-UHFFFAOYSA-N,C1CC(CNC1)C(C=O)F,CC(C)CC1=CC(=C(C=C1)CCC=O)F,CBZ3-P-4D8D4475A612F462,train,A_donor_B_acceptor,aliphatic__aliphatic,O=CC(F)C1CCCNC1,CC(C)Cc1ccc(CCC=O)c(F)c1,train
SYVMPECPUVGBCC-UHFFFAOYSA-N,SMPDBKFSIRQWRG-UHFFFAOYSA-N,CC(C)CC1=CC(=C(C=C1)CCC=O)F,C1CC(CNC1)C(C=O)F,CBZ3-P-4D8D4475A612F462,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)Cc1ccc(CCC=O)c(F)c1,O=CC(F)C1CCCNC1,train
KIJLKPXNLMOKGR-VIFPVBQESA-N,QSVQVHICOZSJGA-UHFFFAOYSA-N,C1=CC(=CN=C1)CN[C@@H](CC(=O)O)C=O,CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=C(C=C(C=C1)Cl)F,CBZ3-P-3D19DF77757B22FA,train,A_donor_B_acceptor,aliphatic__aliphatic,O=C[C@H](CC(=O)O)NCc1cccnc1,CN(C(=O)OC(C)(C)C)C(C)(C=O)c1ccc(Cl)cc1F,train
QSVQVHICOZSJGA-UHFFFAOYSA-N,KIJLKPXNLMOKGR-VIFPVBQESA-N,CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=C(C=C(C=C1)Cl)F,C1=CC(=CN=C1)CN[C@@H](CC(=O)O)C=O,CBZ3-P-3D19DF77757B22FA,train,B_donor_A_acceptor,aliphatic__aliphatic,CN(C(=O)OC(C)(C)C)C(C)(C=O)c1ccc(Cl)cc1F,O=C[C@H](CC(=O)O)NCc1cccnc1,train
KOGSONXNSMAZPS-UHFFFAOYSA-N,ZQVHCUGMRUHYBD-UHFFFAOYSA-N,C(C=O)OC(=C(F)F)F,C1CCOC(C1)OC2=CC=CC=C2C(C=O)C(F)(F)F,CBZ3-P-B9B487A591B39E89,train,A_donor_B_acceptor,aliphatic__aliphatic,O=CCOC(F)=C(F)F,O=CC(c1ccccc1OC1CCCCO1)C(F)(F)F,mixed
ZQVHCUGMRUHYBD-UHFFFAOYSA-N,KOGSONXNSMAZPS-UHFFFAOYSA-N,C1CCOC(C1)OC2=CC=CC=C2C(C=O)C(F)(F)F,C(C=O)OC(=C(F)F)F,CBZ3-P-B9B487A591B39E89,train,B_donor_A_acceptor,aliphatic__aliphatic,O=CC(c1ccccc1OC1CCCCO1)C(F)(F)F,O=CCOC(F)=C(F)F,mixed
QJJAFXHUTJHOPO-UHFFFAOYSA-N,YQVOAJSLJHATMA-UHFFFAOYSA-N,CNC1=CC(=C(C=C1)F)COC2=CC=CC3=C2CN(C3=O)C(CCC=O)(C(=O)NC)O,CN(CC(CC=O)(COCC[Si](C)(C)C)C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2,CBZ3-P-087CA4CE863A6886,train,A_donor_B_acceptor,aliphatic__aliphatic,CNC(=O)C(O)(CCC=O)N1Cc2c(OCc3cc(NC)ccc3F)cccc2C1=O,CN(CC(CC=O)(COCC[Si](C)(C)C)c1ccccc1)S(=O)(=O)c1ccccc1,mixed
YQVOAJSLJHATMA-UHFFFAOYSA-N,QJJAFXHUTJHOPO-UHFFFAOYSA-N,CN(CC(CC=O)(COCC[Si](C)(C)C)C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2,CNC1=CC(=C(C=C1)F)COC2=CC=CC3=C2CN(C3=O)C(CCC=O)(C(=O)NC)O,CBZ3-P-087CA4CE863A6886,train,B_donor_A_acceptor,aliphatic__aliphatic,CN(CC(CC=O)(COCC[Si](C)(C)C)c1ccccc1)S(=O)(=O)c1ccccc1,CNC(=O)C(O)(CCC=O)N1Cc2c(OCc3cc(NC)ccc3F)cccc2C1=O,mixed
