donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair
YOJNEVMYFGUBLO-UHFFFAOYSA-N,SVUFKEBDWUZPPG-UHFFFAOYSA-N,CCC1CC(N(N=C1C2=CC(=C(C=C2)OC)OC(F)F)CC3=CC=C(C=C3)NC(=O)CC)C=O,CC1=C(C(=C(C=C1)F)CCC=O)Cl,CBZ3-P-C81B775D0ED8DBB7,train,B_donor_A_acceptor,aliphatic__aliphatic
CMIJYKIUKSKYAA-IRXDYDNUSA-N,NHVKLYDYFRHGFK-ZETCQYMHSA-N,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCC2=CC=CC=C2,C1=CC(=C(C(=C1)Cl)F)[C@@H](CCN)C=O,CBZ3-P-CD7FF92BCFBA1085,train,A_donor_B_acceptor,aliphatic__aliphatic
NHVKLYDYFRHGFK-ZETCQYMHSA-N,CMIJYKIUKSKYAA-IRXDYDNUSA-N,C1=CC(=C(C(=C1)Cl)F)[C@@H](CCN)C=O,CCCC[C@@H](C=O)NC(=O)[C@@H]1CCCN1C(=O)OCC2=CC=CC=C2,CBZ3-P-CD7FF92BCFBA1085,train,B_donor_A_acceptor,aliphatic__aliphatic
DTWPWFKJUFHUEO-UHFFFAOYSA-N,LBBHIWSRXYVQRT-UHFFFAOYSA-N,C1=CC(=CC=C1CC=O)OCC2=CC=C(C=C2)F,C1=CC(=C(C=C1F)C(C(=O)O)O)CCC=O,CBZ3-P-C37563DFF9F815B1,train,A_donor_B_acceptor,aliphatic__aliphatic
LBBHIWSRXYVQRT-UHFFFAOYSA-N,DTWPWFKJUFHUEO-UHFFFAOYSA-N,C1=CC(=C(C=C1F)C(C(=O)O)O)CCC=O,C1=CC(=CC=C1CC=O)OCC2=CC=C(C=C2)F,CBZ3-P-C37563DFF9F815B1,train,B_donor_A_acceptor,aliphatic__aliphatic
NOGYMZTWRJPLOB-UHFFFAOYSA-N,NPJOEZALOGQJPK-UHFFFAOYSA-N,CCOC(=O)C(CC=O)(C1=CC(=C(C=C1)CN)F)O,CC(C)(C=O)OC1=C(C=C(C=C1)C(F)(F)F)[N+](=O)[O-],CBZ3-P-EBDA92CAFC91C6B6,train,A_donor_B_acceptor,aliphatic__aliphatic
NPJOEZALOGQJPK-UHFFFAOYSA-N,NOGYMZTWRJPLOB-UHFFFAOYSA-N,CC(C)(C=O)OC1=C(C=C(C=C1)C(F)(F)F)[N+](=O)[O-],CCOC(=O)C(CC=O)(C1=CC(=C(C=C1)CN)F)O,CBZ3-P-EBDA92CAFC91C6B6,train,B_donor_A_acceptor,aliphatic__aliphatic
JNWZDBBAEITYAR-UHFFFAOYSA-N,WWZOHVFRQHRGMZ-IPMKNSEASA-N,CCCCOC1=CC=C(C=C1)C(C=O)(F)F,COC1=CC=C(C=C1)C(=O)OC[C@@H]([C@H]([C@@H](C=O)F)OC(=O)C2=CC=C(C=C2)OC)Br,CBZ3-P-33F973749DD78DEE,train,A_donor_B_acceptor,aliphatic__aliphatic
WWZOHVFRQHRGMZ-IPMKNSEASA-N,JNWZDBBAEITYAR-UHFFFAOYSA-N,COC1=CC=C(C=C1)C(=O)OC[C@@H]([C@H]([C@@H](C=O)F)OC(=O)C2=CC=C(C=C2)OC)Br,CCCCOC1=CC=C(C=C1)C(C=O)(F)F,CBZ3-P-33F973749DD78DEE,train,B_donor_A_acceptor,aliphatic__aliphatic
AVFZFTHZSNRRNE-GOSISDBHSA-N,FMRNUFSFKBDNPL-FSDSQADBSA-N,C1C=C[C@](C2=C1C=C(C=C2)C3=CC=CC=C3C(F)(F)F)(C=O)NC(=O)O,CCOC(=O)[C@@H]1[C@H]([C@H]1OC(=O)C(=O)OC)C=O,CBZ3-P-3B11226A7145D0A8,train,A_donor_B_acceptor,aliphatic__aliphatic
FMRNUFSFKBDNPL-FSDSQADBSA-N,AVFZFTHZSNRRNE-GOSISDBHSA-N,CCOC(=O)[C@@H]1[C@H]([C@H]1OC(=O)C(=O)OC)C=O,C1C=C[C@](C2=C1C=C(C=C2)C3=CC=CC=C3C(F)(F)F)(C=O)NC(=O)O,CBZ3-P-3B11226A7145D0A8,train,B_donor_A_acceptor,aliphatic__aliphatic
BRZWVOQTHKLGLO-UHFFFAOYSA-N,NAWBJOPBZGCFLH-UHFFFAOYSA-N,CC1=CC(=C(C(=C1)C(F)F)OC)C(C)CC=O,C1C(OC(N1C2=CC=C(C=C2)NC(=O)N)C(F)(F)F)C=O,CBZ3-P-F400F7296AB45763,train,A_donor_B_acceptor,aliphatic__aliphatic
NAWBJOPBZGCFLH-UHFFFAOYSA-N,BRZWVOQTHKLGLO-UHFFFAOYSA-N,C1C(OC(N1C2=CC=C(C=C2)NC(=O)N)C(F)(F)F)C=O,CC1=CC(=C(C(=C1)C(F)F)OC)C(C)CC=O,CBZ3-P-F400F7296AB45763,train,B_donor_A_acceptor,aliphatic__aliphatic
GNQVSBBTYSHJNF-SNVBAGLBSA-N,XEHMQXWRFKKQBL-UHFFFAOYSA-N,CC1=CC(=C(C=C1)N2CC[C@H](C2)C=O)F,CC1=CC2=C(N1CC=O)C=CC(=C2)F,CBZ3-P-D741A10F3F512680,train,A_donor_B_acceptor,aliphatic__aliphatic
XEHMQXWRFKKQBL-UHFFFAOYSA-N,GNQVSBBTYSHJNF-SNVBAGLBSA-N,CC1=CC2=C(N1CC=O)C=CC(=C2)F,CC1=CC(=C(C=C1)N2CC[C@H](C2)C=O)F,CBZ3-P-D741A10F3F512680,train,B_donor_A_acceptor,aliphatic__aliphatic
GAJCJYHEIAQQTL-UHFFFAOYSA-N,QTNZOXUYJRTVKJ-UHFFFAOYSA-N,CCN1C(=CC(=N1)C(=NC(=C)C2=CC(=C(C(=C2)C)CC=O)C)ON)C3=CC=C(C=C3)F,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)C(F)(F)F,CBZ3-P-52178017E8AFD02B,train,A_donor_B_acceptor,aliphatic__aliphatic
QTNZOXUYJRTVKJ-UHFFFAOYSA-N,GAJCJYHEIAQQTL-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(C=O)C1=C(C=C(C=C1)F)C(F)(F)F,CCN1C(=CC(=N1)C(=NC(=C)C2=CC(=C(C(=C2)C)CC=O)C)ON)C3=CC=C(C=C3)F,CBZ3-P-52178017E8AFD02B,train,B_donor_A_acceptor,aliphatic__aliphatic
SMPDBKFSIRQWRG-UHFFFAOYSA-N,SYVMPECPUVGBCC-UHFFFAOYSA-N,C1CC(CNC1)C(C=O)F,CC(C)CC1=CC(=C(C=C1)CCC=O)F,CBZ3-P-4D8D4475A612F462,train,A_donor_B_acceptor,aliphatic__aliphatic
SYVMPECPUVGBCC-UHFFFAOYSA-N,SMPDBKFSIRQWRG-UHFFFAOYSA-N,CC(C)CC1=CC(=C(C=C1)CCC=O)F,C1CC(CNC1)C(C=O)F,CBZ3-P-4D8D4475A612F462,train,B_donor_A_acceptor,aliphatic__aliphatic
KIJLKPXNLMOKGR-VIFPVBQESA-N,QSVQVHICOZSJGA-UHFFFAOYSA-N,C1=CC(=CN=C1)CN[C@@H](CC(=O)O)C=O,CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=C(C=C(C=C1)Cl)F,CBZ3-P-3D19DF77757B22FA,train,A_donor_B_acceptor,aliphatic__aliphatic
QSVQVHICOZSJGA-UHFFFAOYSA-N,KIJLKPXNLMOKGR-VIFPVBQESA-N,CC(C)(C)OC(=O)N(C)C(C)(C=O)C1=C(C=C(C=C1)Cl)F,C1=CC(=CN=C1)CN[C@@H](CC(=O)O)C=O,CBZ3-P-3D19DF77757B22FA,train,B_donor_A_acceptor,aliphatic__aliphatic
KOGSONXNSMAZPS-UHFFFAOYSA-N,ZQVHCUGMRUHYBD-UHFFFAOYSA-N,C(C=O)OC(=C(F)F)F,C1CCOC(C1)OC2=CC=CC=C2C(C=O)C(F)(F)F,CBZ3-P-B9B487A591B39E89,train,A_donor_B_acceptor,aliphatic__aliphatic
ZQVHCUGMRUHYBD-UHFFFAOYSA-N,KOGSONXNSMAZPS-UHFFFAOYSA-N,C1CCOC(C1)OC2=CC=CC=C2C(C=O)C(F)(F)F,C(C=O)OC(=C(F)F)F,CBZ3-P-B9B487A591B39E89,train,B_donor_A_acceptor,aliphatic__aliphatic
QJJAFXHUTJHOPO-UHFFFAOYSA-N,YQVOAJSLJHATMA-UHFFFAOYSA-N,CNC1=CC(=C(C=C1)F)COC2=CC=CC3=C2CN(C3=O)C(CCC=O)(C(=O)NC)O,CN(CC(CC=O)(COCC[Si](C)(C)C)C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2,CBZ3-P-087CA4CE863A6886,train,A_donor_B_acceptor,aliphatic__aliphatic
YQVOAJSLJHATMA-UHFFFAOYSA-N,QJJAFXHUTJHOPO-UHFFFAOYSA-N,CN(CC(CC=O)(COCC[Si](C)(C)C)C1=CC=CC=C1)S(=O)(=O)C2=CC=CC=C2,CNC1=CC(=C(C=C1)F)COC2=CC=CC3=C2CN(C3=O)C(CCC=O)(C(=O)NC)O,CBZ3-P-087CA4CE863A6886,train,B_donor_A_acceptor,aliphatic__aliphatic
NENDSZPVJQQEMN-SECBINFHSA-N,QZXRDMMPBOYOKS-UHFFFAOYSA-N,C1[C@@](C1(F)F)(C=O)C2=CC=CC=C2,C1C(NCN1C(=O)C2=NN(C(=C2)C3=CC(=CC(=C3)Cl)F)C4=CC(=CC=C4)Cl)C=O,CBZ3-P-F052BCDBEC6DFE38,train,A_donor_B_acceptor,aliphatic__aliphatic
QZXRDMMPBOYOKS-UHFFFAOYSA-N,NENDSZPVJQQEMN-SECBINFHSA-N,C1C(NCN1C(=O)C2=NN(C(=C2)C3=CC(=CC(=C3)Cl)F)C4=CC(=CC=C4)Cl)C=O,C1[C@@](C1(F)F)(C=O)C2=CC=CC=C2,CBZ3-P-F052BCDBEC6DFE38,train,B_donor_A_acceptor,aliphatic__aliphatic
BCOCUZDEILMWGV-UHFFFAOYSA-N,IYILFBWOPVDQPP-UHFFFAOYSA-N,COC1=CC(=CC(=C1CCC=O)O)F,C1=CC(=C(C(=C1CC(C=O)N(F)F)F)F)O,CBZ3-P-CEDFBE9E7C9B227B,train,A_donor_B_acceptor,aliphatic__aliphatic
IYILFBWOPVDQPP-UHFFFAOYSA-N,BCOCUZDEILMWGV-UHFFFAOYSA-N,C1=CC(=C(C(=C1CC(C=O)N(F)F)F)F)O,COC1=CC(=CC(=C1CCC=O)O)F,CBZ3-P-CEDFBE9E7C9B227B,train,B_donor_A_acceptor,aliphatic__aliphatic
IURXBDNZIQQYRO-OYHNWAKOSA-N,YLKNUAOSGBFUTQ-XUEKEHRXSA-N,CC1=C(C=C(C=C1F)C(=O)NC2CC2)N3C=CN=C(C3=O)N[C@@H](C4=CC=CC=C4)[C@@H](C)C=O,CC1C=CC2=CC=CC=C2C1C(=O)NC(C)C(=O)N3CC(CC3C(=O)N[C@@H](CC(=O)O)C=O)(F)F,CBZ3-P-5A7CF9762CA1410F,train,A_donor_B_acceptor,aliphatic__aliphatic
YLKNUAOSGBFUTQ-XUEKEHRXSA-N,IURXBDNZIQQYRO-OYHNWAKOSA-N,CC1C=CC2=CC=CC=C2C1C(=O)NC(C)C(=O)N3CC(CC3C(=O)N[C@@H](CC(=O)O)C=O)(F)F,CC1=C(C=C(C=C1F)C(=O)NC2CC2)N3C=CN=C(C3=O)N[C@@H](C4=CC=CC=C4)[C@@H](C)C=O,CBZ3-P-5A7CF9762CA1410F,train,B_donor_A_acceptor,aliphatic__aliphatic
DPZXGASNLDDAIU-UHFFFAOYSA-N,JMMXWEHKKZFGMP-GQGMFIFISA-N,C1=CC=C(C(=C1)C(=O)NCC=O)O,CC1(CC=C[C@@]2([C@@H]1C=O)COC(=O)[C@]34[C@H]2CC[C@H]([C@H]3OC(=O)/C=C/C5=CN=CN=C5)C(=C)C4=O)C,CBZ3-P-04D1D6C2C7501A68,train,A_donor_B_acceptor,aliphatic__aliphatic
JMMXWEHKKZFGMP-GQGMFIFISA-N,DPZXGASNLDDAIU-UHFFFAOYSA-N,CC1(CC=C[C@@]2([C@@H]1C=O)COC(=O)[C@]34[C@H]2CC[C@H]([C@H]3OC(=O)/C=C/C5=CN=CN=C5)C(=C)C4=O)C,C1=CC=C(C(=C1)C(=O)NCC=O)O,CBZ3-P-04D1D6C2C7501A68,train,B_donor_A_acceptor,aliphatic__aliphatic
LIKQIABRRGRBIX-IAGOWNOFSA-N,YELSBCKFBCGDKB-UHFFFAOYSA-N,C[C@@](C=O)(C1=CC=CC=C1)[C@H](C[N+](=O)[O-])C2=CC=CC=C2,CC1=C(C=CC2=C1NC3=C2C=CC(=C3)F)CC=O,CBZ3-P-0EF66F90DCEA1F6B,train,A_donor_B_acceptor,aliphatic__aliphatic
YELSBCKFBCGDKB-UHFFFAOYSA-N,LIKQIABRRGRBIX-IAGOWNOFSA-N,CC1=C(C=CC2=C1NC3=C2C=CC(=C3)F)CC=O,C[C@@](C=O)(C1=CC=CC=C1)[C@H](C[N+](=O)[O-])C2=CC=CC=C2,CBZ3-P-0EF66F90DCEA1F6B,train,B_donor_A_acceptor,aliphatic__aliphatic
RIHZBJCOXPAKFA-UHFFFAOYSA-N,SLENRWQMLNBTKD-UHFFFAOYSA-N,C1=CC(=CC=C1CC(CCC(F)(F)F)(C=O)C#N)C(F)(F)F,CC1=C(C=C(C=C1)F)N2CCN(CC2)C(=O)CCC(C)(C=O)NC(=O)NC,CBZ3-P-3472F1D059FC06BA,train,A_donor_B_acceptor,aliphatic__aliphatic
SLENRWQMLNBTKD-UHFFFAOYSA-N,RIHZBJCOXPAKFA-UHFFFAOYSA-N,CC1=C(C=C(C=C1)F)N2CCN(CC2)C(=O)CCC(C)(C=O)NC(=O)NC,C1=CC(=CC=C1CC(CCC(F)(F)F)(C=O)C#N)C(F)(F)F,CBZ3-P-3472F1D059FC06BA,train,B_donor_A_acceptor,aliphatic__aliphatic
GGPPRUHQANTQMX-UHFFFAOYSA-N,UKXNKELKYQIISI-UHFFFAOYSA-N,CC(C)(C1=C(C=C2C=NN(C2=C1)C3CCC(CC3)C=O)NC(=O)C4=C(C=CC=N4)OC(F)(F)F)O,C1=CC=C(C=C1)C(=O)OCCCCCC=O,CBZ3-P-046008CA01B15331,train,A_donor_B_acceptor,aliphatic__aliphatic
UKXNKELKYQIISI-UHFFFAOYSA-N,GGPPRUHQANTQMX-UHFFFAOYSA-N,C1=CC=C(C=C1)C(=O)OCCCCCC=O,CC(C)(C1=C(C=C2C=NN(C2=C1)C3CCC(CC3)C=O)NC(=O)C4=C(C=CC=N4)OC(F)(F)F)O,CBZ3-P-046008CA01B15331,train,B_donor_A_acceptor,aliphatic__aliphatic
HYFSUPXWXXXESM-QRIDDKLISA-N,PBAIAKMBGKMMKR-JUTLFCHVSA-N,C1CN(C[C@@H](C1C=O)O)C2=C(C=C(C=C2F)Cl)F,C[C@H]1C2=C(CO1)N=CN=C2N3CCN(CC3)C(C(C=O)C4=CC(=C(C=C4)Cl)F)NC(C)C,CBZ3-P-5262A829939BA060,train,A_donor_B_acceptor,aliphatic__aliphatic
PBAIAKMBGKMMKR-JUTLFCHVSA-N,HYFSUPXWXXXESM-QRIDDKLISA-N,C[C@H]1C2=C(CO1)N=CN=C2N3CCN(CC3)C(C(C=O)C4=CC(=C(C=C4)Cl)F)NC(C)C,C1CN(C[C@@H](C1C=O)O)C2=C(C=C(C=C2F)Cl)F,CBZ3-P-5262A829939BA060,train,B_donor_A_acceptor,aliphatic__aliphatic
IEPVPIANRSKNFM-AATRIKPKSA-N,KIEXVBAUUNQRPX-UHFFFAOYSA-N,C1CC1(/C=C/C2=CC=C(C=C2)C(F)(F)F)C=O,CC1=CC(=CC2=C1C(N(C2)CC3=CC=C(C=C3)OC(F)(F)F)C=O)C(=N)CC(C)N(C)C,CBZ3-P-149D9F854B38970C,train,A_donor_B_acceptor,aliphatic__aliphatic
KIEXVBAUUNQRPX-UHFFFAOYSA-N,IEPVPIANRSKNFM-AATRIKPKSA-N,CC1=CC(=CC2=C1C(N(C2)CC3=CC=C(C=C3)OC(F)(F)F)C=O)C(=N)CC(C)N(C)C,C1CC1(/C=C/C2=CC=C(C=C2)C(F)(F)F)C=O,CBZ3-P-149D9F854B38970C,train,B_donor_A_acceptor,aliphatic__aliphatic
HOORNXRCNIOJNN-UHFFFAOYSA-N,SAOXHIYKMJDRKW-UHFFFAOYSA-N,CC(CC=O)C1=C2C(=CC=C1)OC(O2)(F)F,CCN(CCC=O)C1=CC(=CC=C1)F,CBZ3-P-58C6FA4DB5F0C6EB,train,A_donor_B_acceptor,aliphatic__aliphatic
SAOXHIYKMJDRKW-UHFFFAOYSA-N,HOORNXRCNIOJNN-UHFFFAOYSA-N,CCN(CCC=O)C1=CC(=CC=C1)F,CC(CC=O)C1=C2C(=CC=C1)OC(O2)(F)F,CBZ3-P-58C6FA4DB5F0C6EB,train,B_donor_A_acceptor,aliphatic__aliphatic
