donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,stratum
ZGGDFLZXBOFJBS-UHFFFAOYSA-N,JWYSIBPURBHLPT-UHFFFAOYSA-N,C1C(CC1F)C=O,CC1=CC(=CC(=C1F)C)NC2=C(N=C3N2CCN(C3)CC(C)(C=O)N)C4=CC=C(C=C4)F,CBZ3-P-51EA47EE399A79DC,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
JJMWYXYXNXYQBE-XEGUGMAKSA-N,YFWJVHRWFLJYGE-UHFFFAOYSA-N,C[C@@H](C(=O)N[C@@H](CC(=O)O)C=O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)C,CC(C)(C=O)C1=CC(=CC(=C1)Cl)F,CBZ3-P-8FFAAB687CE09B77,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
YFWJVHRWFLJYGE-UHFFFAOYSA-N,JJMWYXYXNXYQBE-XEGUGMAKSA-N,CC(C)(C=O)C1=CC(=CC(=C1)Cl)F,C[C@@H](C(=O)N[C@@H](CC(=O)O)C=O)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)C,CBZ3-P-8FFAAB687CE09B77,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
KSGJCCLXZZCCPQ-UHFFFAOYSA-N,OKNSKSKGRONIPL-UHFFFAOYSA-N,C1CC(CCC1CCC2=CC(=C(C(=C2)F)F)F)C3CCC(CC3)C=O,CC(CC=O)C1=CC(=CC=C1)C(F)(F)F,CBZ3-P-E20D6D444AE03F40,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
OKNSKSKGRONIPL-UHFFFAOYSA-N,KSGJCCLXZZCCPQ-UHFFFAOYSA-N,CC(CC=O)C1=CC(=CC=C1)C(F)(F)F,C1CC(CCC1CCC2=CC(=C(C(=C2)F)F)F)C3CCC(CC3)C=O,CBZ3-P-E20D6D444AE03F40,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
KCZQFAHPYDRPLK-UHFFFAOYSA-N,RBBSMFSKEWDJGX-UHFFFAOYSA-N,C1=CC(=CC(=C1)C(F)(F)F)C(CC=O)N2C=NC=N2,CC(C1=NC2=C(N1)C=C3CC(CC3=C2F)C=O)NC(=O)OC(C)(C)C,CBZ3-P-832D356552CB8D3C,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
RBBSMFSKEWDJGX-UHFFFAOYSA-N,KCZQFAHPYDRPLK-UHFFFAOYSA-N,CC(C1=NC2=C(N1)C=C3CC(CC3=C2F)C=O)NC(=O)OC(C)(C)C,C1=CC(=CC(=C1)C(F)(F)F)C(CC=O)N2C=NC=N2,CBZ3-P-832D356552CB8D3C,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
FQEULUXNKYDLCC-UHFFFAOYSA-N,QILMKPNYBCONMN-UHFFFAOYSA-N,C1CC(CCC1C=O)C2CCC(CC2)C3=CC=C(C=C3)Cl,C1C(=CC(=CC1(C=O)F)F)F,CBZ3-P-198B0F8F94DFC697,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
QILMKPNYBCONMN-UHFFFAOYSA-N,FQEULUXNKYDLCC-UHFFFAOYSA-N,C1C(=CC(=CC1(C=O)F)F)F,C1CC(CCC1C=O)C2CCC(CC2)C3=CC=C(C=C3)Cl,CBZ3-P-198B0F8F94DFC697,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
LROMTUNRKRKTMS-PVCZSOGJSA-N,PKSYXBDGTQKVOI-UHFFFAOYSA-N,COC(=O)C[C@@H]1CCN(C1)C(=O)C(C=O)C2=CC3=C(C=C2)C(=CC(=O)O3)C4=C(C=C(C=C4)F)Cl,CN(C)C1=NC=CN=C1N2CCN(C(C2)C=O)C3=CC4=C(N3)C=CC(=C4)F,CBZ3-P-27F880632213253D,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
PKSYXBDGTQKVOI-UHFFFAOYSA-N,LROMTUNRKRKTMS-PVCZSOGJSA-N,CN(C)C1=NC=CN=C1N2CCN(C(C2)C=O)C3=CC4=C(N3)C=CC(=C4)F,COC(=O)C[C@@H]1CCN(C1)C(=O)C(C=O)C2=CC3=C(C=C2)C(=CC(=O)O3)C4=C(C=C(C=C4)F)Cl,CBZ3-P-27F880632213253D,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
GESSAYVITMMYCE-UHFFFAOYSA-N,ZJUQBZZQFUPLCM-SCSAIBSYSA-N,CC(C)C1(CC1C=O)C2=CC=CC=C2F,CSC[C@@H](C=O)N,CBZ3-P-593664AFD146F002,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
ZJUQBZZQFUPLCM-SCSAIBSYSA-N,GESSAYVITMMYCE-UHFFFAOYSA-N,CSC[C@@H](C=O)N,CC(C)C1(CC1C=O)C2=CC=CC=C2F,CBZ3-P-593664AFD146F002,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CEJJXUUXLFYBAR-UHFFFAOYSA-N,PONWVFADXSSWLK-UHFFFAOYSA-N,C1CC2C(C(C1O2)CC3=CC(=CC=C3)CC(=O)O)C=O,C1CC(CCC1CCCC=O)C2=CC=C(C=C2)C#N,CBZ3-P-858711B69FC60A90,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
PONWVFADXSSWLK-UHFFFAOYSA-N,CEJJXUUXLFYBAR-UHFFFAOYSA-N,C1CC(CCC1CCCC=O)C2=CC=C(C=C2)C#N,C1CC2C(C(C1O2)CC3=CC(=CC=C3)CC(=O)O)C=O,CBZ3-P-858711B69FC60A90,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
HVPIJHRZVAFYAZ-SMDDNHRTSA-N,XTIXUYCMYOKUJL-UHFFFAOYSA-N,CC1=C(C=CC(=C1)F)[C@]2(C[C@H](CCN2)C=O)C,C1CC(N(C1)C(=O)C(F)(F)F)C=O,CBZ3-P-A41EDA0F93C3D73D,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XTIXUYCMYOKUJL-UHFFFAOYSA-N,HVPIJHRZVAFYAZ-SMDDNHRTSA-N,C1CC(N(C1)C(=O)C(F)(F)F)C=O,CC1=C(C=CC(=C1)F)[C@]2(C[C@H](CCN2)C=O)C,CBZ3-P-A41EDA0F93C3D73D,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
FEJQRDZKTSYYNZ-GHMZBOCLSA-N,UDQJCHBUHFROLD-UHFFFAOYSA-N,CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])NC(=O)C,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC(=CC=C1)F,CBZ3-P-54882EF5F0D3F66A,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
UDQJCHBUHFROLD-UHFFFAOYSA-N,FEJQRDZKTSYYNZ-GHMZBOCLSA-N,CC(C)(C)OC(=O)NCC(C)(C=O)C1=CC(=CC=C1)F,CCC(CC)O[C@H](C=O)[C@@H](C[N+](=O)[O-])NC(=O)C,CBZ3-P-54882EF5F0D3F66A,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
WDZREIVAMFZTOB-UHFFFAOYSA-N,XIQNYXOZZIHKMQ-UHFFFAOYSA-N,C1=CC=C2C(=C1)C=CC(=O)N2CC=O,C1CC(CCC1NCC=O)(F)F,CBZ3-P-C545FDEDD1411BBA,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XIQNYXOZZIHKMQ-UHFFFAOYSA-N,WDZREIVAMFZTOB-UHFFFAOYSA-N,C1CC(CCC1NCC=O)(F)F,C1=CC=C2C(=C1)C=CC(=O)N2CC=O,CBZ3-P-C545FDEDD1411BBA,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
AVYZVJKVPMFRLN-VXLYETTFSA-N,XHHOUSUQRUUOBS-CYBMUJFWSA-N,CN(/C(=C\N)/SN1CCC2=CC3=C(CC2(C1)C=O)C=NN3C4=CC=C(C=C4)F)N,CC(C)(C)OC(=O)N[C@H](CC=O)C1=C(C=C(C=C1)OC)F,CBZ3-P-0BFD2F69DADBE98E,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XHHOUSUQRUUOBS-CYBMUJFWSA-N,AVYZVJKVPMFRLN-VXLYETTFSA-N,CC(C)(C)OC(=O)N[C@H](CC=O)C1=C(C=C(C=C1)OC)F,CN(/C(=C\N)/SN1CCC2=CC3=C(CC2(C1)C=O)C=NN3C4=CC=C(C=C4)F)N,CBZ3-P-0BFD2F69DADBE98E,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BUWZFPXRMPODMO-UHFFFAOYSA-N,YYWLEUZAMQWYRU-VKOGCVSHSA-N,C1=CN=NC(=C1C(F)(F)F)C(C=O)(Br)Br,C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@@H](CC2=CN=CN2)C=O)NC(=O)[C@H](CO)NC(=O)C,CBZ3-P-A80A0A6086FA6216,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
YYWLEUZAMQWYRU-VKOGCVSHSA-N,BUWZFPXRMPODMO-UHFFFAOYSA-N,C[C@@H](C(=O)N[C@@H](C1CCCCC1)C(=O)N[C@@H](CC2=CN=CN2)C=O)NC(=O)[C@H](CO)NC(=O)C,C1=CN=NC(=C1C(F)(F)F)C(C=O)(Br)Br,CBZ3-P-A80A0A6086FA6216,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
ANESVLVAPNIUQJ-CYBMUJFWSA-N,DCAQPSNEMNQSIX-VIFPVBQESA-N,CCC[C@H](CC=O)OCC1=CC=CC=C1,C1[C@@H](N(C(=O)O1)C2=CC(=C(C=C2)C#N)C(F)(F)F)C=O,CBZ3-P-E21A0F795778EC07,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
DCAQPSNEMNQSIX-VIFPVBQESA-N,ANESVLVAPNIUQJ-CYBMUJFWSA-N,C1[C@@H](N(C(=O)O1)C2=CC(=C(C=C2)C#N)C(F)(F)F)C=O,CCC[C@H](CC=O)OCC1=CC=CC=C1,CBZ3-P-E21A0F795778EC07,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CNTWCASMFCWLRE-UHFFFAOYSA-N,DDMIFUPMZSBMQY-UHFFFAOYSA-N,CC(CC=O)C1=CC(=C(C=C1)F)C2=CC=CC=C2,C1C2CC3CC(C2)(CC1C3(CC=O)O)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O,CBZ3-P-C0F44979E8643EE4,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
DDMIFUPMZSBMQY-UHFFFAOYSA-N,CNTWCASMFCWLRE-UHFFFAOYSA-N,C1C2CC3CC(C2)(CC1C3(CC=O)O)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O,CC(CC=O)C1=CC(=C(C=C1)F)C2=CC=CC=C2,CBZ3-P-C0F44979E8643EE4,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
HOJDTMMBQCYYOD-UHFFFAOYSA-N,OMELVYRYZDVOFY-UHFFFAOYSA-N,CC(C=O)(C1=C(C=C(C=C1)O)F)F,C1=CC(=CC(=C1)N2C(=CN=N2)CC=O)C(F)(F)F,CBZ3-P-4878438802E1E0F4,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
OMELVYRYZDVOFY-UHFFFAOYSA-N,HOJDTMMBQCYYOD-UHFFFAOYSA-N,C1=CC(=CC(=C1)N2C(=CN=N2)CC=O)C(F)(F)F,CC(C=O)(C1=C(C=C(C=C1)O)F)F,CBZ3-P-4878438802E1E0F4,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CYMALQCKCZYYAK-UHFFFAOYSA-N,JJHOOWYDBIDTRN-ONEGZZNKSA-N,C1=CC(=NC=C1OC2=NC=C(C(=C2)C(F)(F)F)CC=O)Cl,CC(CC=O)/C=C/C1=CC=C(C=C1)OC,CBZ3-P-8140A92FB5DDB9B3,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
JJHOOWYDBIDTRN-ONEGZZNKSA-N,CYMALQCKCZYYAK-UHFFFAOYSA-N,CC(CC=O)/C=C/C1=CC=C(C=C1)OC,C1=CC(=NC=C1OC2=NC=C(C(=C2)C(F)(F)F)CC=O)Cl,CBZ3-P-8140A92FB5DDB9B3,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
APDWRWPUDNCQRP-SMEJFCCLSA-N,HHQIYRXCDLOJOU-HNNXBMFYSA-N,CCC[C@@]1(C[C@@H](C(N1)C2=CC(=C(C=C2)Cl)Cl)F)C=O,C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C=O)F,CBZ3-P-AECB8E83229160BA,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
HHQIYRXCDLOJOU-HNNXBMFYSA-N,APDWRWPUDNCQRP-SMEJFCCLSA-N,C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C=O)F,CCC[C@@]1(C[C@@H](C(N1)C2=CC(=C(C=C2)Cl)Cl)F)C=O,CBZ3-P-AECB8E83229160BA,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BJUBOYUWKUJTPI-BQBZGAKWSA-N,SFLDVRWVTJVWSA-UHFFFAOYSA-N,C1C[C@H](N(C1)C(=O)[C@H](CS)N)C=O,C1=CC2=C(C=C1F)N(C(=O)C(=C2)F)CC=O,CBZ3-P-EC69EE05B555A27C,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
SFLDVRWVTJVWSA-UHFFFAOYSA-N,BJUBOYUWKUJTPI-BQBZGAKWSA-N,C1=CC2=C(C=C1F)N(C(=O)C(=C2)F)CC=O,C1C[C@H](N(C1)C(=O)[C@H](CS)N)C=O,CBZ3-P-EC69EE05B555A27C,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BUEZEAXRTZJLMS-UHFFFAOYSA-N,TYQBHLGRGWFOGR-MTAWZVGPSA-N,C1=CC(=C(C=C1C(F)(F)F)C#N)C=CCC=O,CCC/C(=C(/C)\C(CC)OC1=CC2=C(C=C1)N(C=C2)CC=O)/N=C(C)C3=CC=C(C=C3)C(C)(F)F,CBZ3-P-DC4317BED5BD7998,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
TYQBHLGRGWFOGR-MTAWZVGPSA-N,BUEZEAXRTZJLMS-UHFFFAOYSA-N,CCC/C(=C(/C)\C(CC)OC1=CC2=C(C=C1)N(C=C2)CC=O)/N=C(C)C3=CC=C(C=C3)C(C)(F)F,C1=CC(=C(C=C1C(F)(F)F)C#N)C=CCC=O,CBZ3-P-DC4317BED5BD7998,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
WTKDYNNJQBNCTI-UHFFFAOYSA-N,XONOUUIJDKOXRR-UHFFFAOYSA-N,C1=CC(=C(C(=C1)F)OC(=O)CC=O)F,CC(C)(C)OC(=O)N1CCC(CC1C=O)(F)F,CBZ3-P-744CADE61A3AFDB3,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XONOUUIJDKOXRR-UHFFFAOYSA-N,WTKDYNNJQBNCTI-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCC(CC1C=O)(F)F,C1=CC(=C(C(=C1)F)OC(=O)CC=O)F,CBZ3-P-744CADE61A3AFDB3,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
LWCDKRYMTXCJJM-UHFFFAOYSA-N,ZOUPPOBYNHODLB-UHFFFAOYSA-N,C1=CC(=CC=C1CCNCC=O)F,C1CC(CCC1C=O)C2=C(C=CC(=C2)F)F,CBZ3-P-B3673193A7AE662E,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
ZOUPPOBYNHODLB-UHFFFAOYSA-N,LWCDKRYMTXCJJM-UHFFFAOYSA-N,C1CC(CCC1C=O)C2=C(C=CC(=C2)F)F,C1=CC(=CC=C1CCNCC=O)F,CBZ3-P-B3673193A7AE662E,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BNSKDECWEWFCNW-UHFFFAOYSA-N,TXKNAVDSBRAWBD-UHFFFAOYSA-N,C1CN(CCN1CCCCCC=O)C(=O)OCC2=CC=CC=C2OC(F)(F)F,CC(=O)OC1(C2=CC=CC=C2N(C1=O)C)C=O,CBZ3-P-BB91AC93E1E8E5A4,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
TXKNAVDSBRAWBD-UHFFFAOYSA-N,BNSKDECWEWFCNW-UHFFFAOYSA-N,CC(=O)OC1(C2=CC=CC=C2N(C1=O)C)C=O,C1CN(CCN1CCCCCC=O)C(=O)OCC2=CC=CC=C2OC(F)(F)F,CBZ3-P-BB91AC93E1E8E5A4,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
LQIBHGXAKFRBSM-UHFFFAOYSA-N,WAGILBAPOVJLDQ-UHFFFAOYSA-N,C1CN(CCN1CC(C=O)C2=CC=C(C=C2)F)C3=CC=CC(=C3)C(F)(F)F,C1CNCC(C1C=O)C(C2=CC=CC=C2F)(F)F,CBZ3-P-FE9052140507067E,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WAGILBAPOVJLDQ-UHFFFAOYSA-N,LQIBHGXAKFRBSM-UHFFFAOYSA-N,C1CNCC(C1C=O)C(C2=CC=CC=C2F)(F)F,C1CN(CCN1CC(C=O)C2=CC=C(C=C2)F)C3=CC=CC(=C3)C(F)(F)F,CBZ3-P-FE9052140507067E,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
WYXHNCSPSKLBBW-UHFFFAOYSA-N,YASSNEIEYOCMSZ-UHFFFAOYSA-N,C[Si](C)(C)CCOCN1C2=C(C=C(C=C2)C(F)(F)F)N=C1CC3CC(C3)C=O,CCOCC(C=O)C1=CC=C(C=C1)OC(C2=CC=C(C=C2)C(F)(F)F)(F)F,CBZ3-P-FC7D98C93ABDD938,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
