ald_idx,name,smiles_raw,InChIKey,cho_class,xtb_risk,smiles_canonical,scaffold,scaffold_split_legacy,computable
11,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,CC1=NC=C(C(=C1O)C=O)CO,RADKZDMFGJYCBB-UHFFFAOYSA-N,aromatic_hetero,,Cc1ncc(CO)c(C=O)c1O,c1ccncc1,train,
12,"7-hydroxy-3,7-dimethyloctanal",CC(CCCC(C)(C)O)CC=O,WPFVBOQKRVRMJB-UHFFFAOYSA-N,aliphatic,,CC(CC=O)CCCC(C)(C)O,__no_ring__CC(CCCC(C)(C)O)CC=O,validation,
13,"3,4-dihydroxybenzaldehyde",C1=CC(=C(C=C1C=O)O)O,IBGBGRVKPALMCQ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(O)c(O)c1,c1ccccc1,train,
14,"3,7-dimethyloct-6-enal",CC(CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-UHFFFAOYSA-N,aliphatic,,CC(C)=CCCC(C)CC=O,__no_ring__CC(CCC=C(C)C)CC=O,test,
15,propanal,CCC=O,NBBJYMSMWIIQGU-UHFFFAOYSA-N,aliphatic,,CCC=O,__no_ring__CCC=O,test,
16,2-methylpropanal,CC(C)C=O,AMIMRNSIRUDHCM-UHFFFAOYSA-N,aliphatic,,CC(C)C=O,__no_ring__CC(C)C=O,validation,
17,2-hydroxybenzaldehyde,C1=CC=C(C(=C1)C=O)O,SMQUZDBALVYZAC-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1O,c1ccccc1,train,
18,decanal,CCCCCCCCCC=O,KSMVZQYAVGTKIV-UHFFFAOYSA-N,aliphatic,,CCCCCCCCCC=O,__no_ring__CCCCCCCCCC=O,train,
19,3-methylsulfanylpropanal,CSCCC=O,CLUWOWRTHNNBBU-UHFFFAOYSA-N,aliphatic,,CSCCC=O,__no_ring__CSCCC=O,test,
20,3-ethoxy-4-hydroxybenzaldehyde,CCOC1=C(C=CC(=C1)C=O)O,CBOQJANXLMLOSS-UHFFFAOYSA-N,aromatic_carbo,,CCOc1cc(C=O)ccc1O,c1ccccc1,train,
21,2-phenylacetaldehyde,C1=CC=C(C=C1)CC=O,DTUQWGWMVIHBKE-UHFFFAOYSA-N,aliphatic,,O=CCc1ccccc1,c1ccccc1,train,
22,(4-formyl-5-hydroxy-6-methyl-3-pyridinyl)methyl dihydrogen phosphate,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O,NGVDGCNFYWLIFO-UHFFFAOYSA-N,aromatic_hetero,phosphorus,Cc1ncc(COP(=O)(O)O)c(C=O)c1O,c1ccncc1,train,
23,3-(4-tert-butylphenyl)-2-methylpropanal,CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,SDQFDHOLCGWZPU-UHFFFAOYSA-N,aliphatic,,CC(C=O)Cc1ccc(C(C)(C)C)cc1,c1ccccc1,train,
24,2-methylbutanal,CCC(C)C=O,BYGQBDHUGHBGMD-UHFFFAOYSA-N,aliphatic,,CCC(C)C=O,__no_ring__CCC(C)C=O,validation,
25,2-methyl-3-(4-propan-2-ylphenyl)propanal,CC(C)C1=CC=C(C=C1)CC(C)C=O,ZFNVDHOSLNRHNN-UHFFFAOYSA-N,aliphatic,,CC(C=O)Cc1ccc(C(C)C)cc1,c1ccccc1,train,
26,octanal,CCCCCCCC=O,NUJGJRNETVAIRJ-UHFFFAOYSA-N,aliphatic,,CCCCCCCC=O,__no_ring__CCCCCCCC=O,train,
27,4-methylbenzaldehyde,CC1=CC=C(C=C1)C=O,FXLOVSHXALFLKQ-UHFFFAOYSA-N,aromatic_carbo,,Cc1ccc(C=O)cc1,c1ccccc1,train,
28,pentanal,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,aliphatic,,CCCCC=O,__no_ring__CCCCC=O,train,
29,"1,3-benzodioxole-5-carbaldehyde",C1OC2=C(O1)C=C(C=C2)C=O,SATCULPHIDQDRE-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc2c(c1)OCO2,c1ccc2c(c1)OCO2,train,
30,1H-indole-3-carbaldehyde,C1=CC=C2C(=C1)C(=CN2)C=O,OLNJUISKUQQNIM-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1c[nH]c2ccccc12,c1ccc2[nH]ccc2c1,train,
31,"2,4,5-trimethoxybenzaldehyde",COC1=CC(=C(C=C1C=O)OC)OC,IAJBQAYHSQIQRE-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(OC)c(OC)cc1C=O,c1ccccc1,train,
32,dodecanal,CCCCCCCCCCCC=O,HFJRKMMYBMWEAD-UHFFFAOYSA-N,aliphatic,,CCCCCCCCCCCC=O,__no_ring__CCCCCCCCCCCC=O,test,
33,2-chloroacetaldehyde,C(C=O)Cl,QSKPIOLLBIHNAC-UHFFFAOYSA-N,aliphatic,,O=CCCl,__no_ring__C(C=O)Cl,test,
34,"2,3-dihydroxypropanal",C(C(C=O)O)O,MNQZXJOMYWMBOU-UHFFFAOYSA-N,aliphatic,,O=CC(O)CO,__no_ring__C(C(C=O)O)O,test,
35,"N-[(2R,3R,4S,5R)-3,4,5,6-tetrahydroxy-1-oxohexan-2-yl]acetamide",CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,MBLBDJOUHNCFQT-LXGUWJNJSA-N,aliphatic,,CC(=O)N[C@@H](C=O)[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__CC(=O)N[C@@H](C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,train,
36,"2,2,2-trichloroacetaldehyde",C(=O)C(Cl)(Cl)Cl,HFFLGKNGCAIQMO-UHFFFAOYSA-N,aliphatic,,O=CC(Cl)(Cl)Cl,__no_ring__C(=O)C(Cl)(Cl)Cl,test,
37,pyridine-3-carbaldehyde,C1=CC(=CN=C1)C=O,QJZUKDFHGGYHMC-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cccnc1,c1ccncc1,train,
38,3-phenoxybenzaldehyde,C1=CC=C(C=C1)OC2=CC=CC(=C2)C=O,MRLGCTNJRREZHZ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cccc(Oc2ccccc2)c1,c1ccc(Oc2ccccc2)cc1,train,
39,"2,2-dichloroacetaldehyde",C(=O)C(Cl)Cl,NWQWQKUXRJYXFH-UHFFFAOYSA-N,aliphatic,,O=CC(Cl)Cl,__no_ring__C(=O)C(Cl)Cl,train,
40,3-phenylpropanal,C1=CC=C(C=C1)CCC=O,YGCZTXZTJXYWCO-UHFFFAOYSA-N,aliphatic,,O=CCCc1ccccc1,c1ccccc1,train,
41,2-methylbenzaldehyde,CC1=CC=CC=C1C=O,BTFQKIATRPGRBS-UHFFFAOYSA-N,aromatic_carbo,,Cc1ccccc1C=O,c1ccccc1,train,
42,4-methoxybenzaldehyde,COC1=CC=C(C=C1)C=O,ZRSNZINYAWTAHE-UHFFFAOYSA-N,aromatic_carbo,,COc1ccc(C=O)cc1,c1ccccc1,train,
43,2-ethylhexanal,CCCCC(CC)C=O,LGYNIFWIKSEESD-UHFFFAOYSA-N,aliphatic,,CCCCC(C=O)CC,__no_ring__CCCCC(CC)C=O,test,
44,"(3R,4S,5R)-3,4,5,6-tetrahydroxyhexanal",C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,VRYALKFFQXWPIH-PBXRRBTRSA-N,aliphatic,,O=CC[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__C(C=O)[C@H]([C@@H]([C@@H](CO)O)O)O,test,
45,2-hydroxyacetaldehyde,C(C=O)O,WGCNASOHLSPBMP-UHFFFAOYSA-N,aliphatic,,O=CCO,__no_ring__C(C=O)O,test,
46,(Z)-dec-4-enal,CCCCC/C=C\CCC=O,CWRKZMLUDFBPAO-SREVYHEPSA-N,aliphatic,,CCCCC/C=C\CCC=O,__no_ring__CCCCC/C=C\CCC=O,test,
47,"11-(1-methylpiperidin-4-ylidene)-5,6-dihydroimidazo[2,1-b][3]benzazepine-3-carbaldehyde",CN1CCC(=C2C3=CC=CC=C3CCN4C2=NC=C4C=O)CC1,MWTBKTRZPHJQLH-UHFFFAOYSA-N,aromatic_hetero,,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,c1ccc2c(c1)CCn1ccnc1C2=C1CCNCC1,validation,
48,naphthalene-1-carbaldehyde,C1=CC=C2C(=C1)C=CC=C2C=O,SQAINHDHICKHLX-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cccc2ccccc12,c1ccc2ccccc2c1,train,
49,4-ethylbenzaldehyde,CCC1=CC=C(C=C1)C=O,QNGNSVIICDLXHT-UHFFFAOYSA-N,aromatic_carbo,,CCc1ccc(C=O)cc1,c1ccccc1,train,
50,4-propan-2-ylbenzaldehyde,CC(C)C1=CC=C(C=C1)C=O,WTWBUQJHJGUZCY-UHFFFAOYSA-N,aromatic_carbo,,CC(C)c1ccc(C=O)cc1,c1ccccc1,train,
51,2-phenylpropanal,CC(C=O)C1=CC=CC=C1,IQVAERDLDAZARL-UHFFFAOYSA-N,aliphatic,,CC(C=O)c1ccccc1,c1ccccc1,train,
52,"3,4-dimethoxybenzaldehyde",COC1=C(C=C(C=C1)C=O)OC,WJUFSDZVCOTFON-UHFFFAOYSA-N,aromatic_carbo,,COc1ccc(C=O)cc1OC,c1ccccc1,train,
53,3-nitrobenzaldehyde,C1=CC(=CC(=C1)[N+](=O)[O-])C=O,ZETIVVHRRQLWFW-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1cccc([N+](=O)[O-])c1,c1ccccc1,train,
54,1-methylpyrrole-2-carbaldehyde,CN1C=CC=C1C=O,OUKQTRFCDKSEPL-UHFFFAOYSA-N,aromatic_hetero,,Cn1cccc1C=O,c1cc[nH]c1,train,
55,"2,6-dimethylhept-5-enal",CC(CCC=C(C)C)C=O,YGFGZTXGYTUXBA-UHFFFAOYSA-N,aliphatic,,CC(C)=CCCC(C)C=O,__no_ring__CC(CCC=C(C)C)C=O,test,
56,"2-(2,6,6-trimethylcyclohexen-1-yl)acetaldehyde",CC1=C(C(CCC1)(C)C)CC=O,VHTFHZGAMYUZEP-UHFFFAOYSA-N,aliphatic,,CC1=C(CC=O)C(C)(C)CCC1,C1=CCCCC1,train,
57,undecanal,CCCCCCCCCCC=O,KMPQYAYAQWNLME-UHFFFAOYSA-N,aliphatic,,CCCCCCCCCCC=O,__no_ring__CCCCCCCCCCC=O,test,
58,3-hydroxy-4-methoxybenzaldehyde,COC1=C(C=C(C=C1)C=O)O,JVTZFYYHCGSXJV-UHFFFAOYSA-N,aromatic_carbo,,COc1ccc(C=O)cc1O,c1ccccc1,train,
59,5-methylfuran-2-carbaldehyde,CC1=CC=C(O1)C=O,OUDFNZMQXZILJD-UHFFFAOYSA-N,aromatic_hetero,,Cc1ccc(C=O)o1,c1ccoc1,train,
60,benzyl N-[(2S)-4-methyl-1-[[(2S)-4-methyl-1-[[(2S)-4-methyl-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]amino]-1-oxopentan-2-yl]carbamate,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1,TZYWCYJVHRLUCT-VABKMULXSA-N,aliphatic,,CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccccc1,c1ccccc1,train,
61,"(2R)-2-[(2S,3R,4S)-3,4-dihydroxy-5-oxooxolan-2-yl]-2-hydroxyacetaldehyde",C(=O)[C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O,UYUXSRADSPPKRZ-SKNVOMKLSA-N,aliphatic,,O=C[C@H](O)[C@H]1OC(=O)[C@@H](O)[C@H]1O,O=C1CCCO1,train,
62,oxirane-2-carbaldehyde,C1C(O1)C=O,IWYRWIUNAVNFPE-UHFFFAOYSA-N,aliphatic,,O=CC1CO1,C1CO1,train,
63,thiophene-2-carbaldehyde,C1=CSC(=C1)C=O,CNUDBTRUORMMPA-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cccs1,c1ccsc1,train,
64,3-methylbenzaldehyde,CC1=CC(=CC=C1)C=O,OVWYEQOVUDKZNU-UHFFFAOYSA-N,aromatic_carbo,,Cc1cccc(C=O)c1,c1ccccc1,train,
65,4-chlorobenzaldehyde,C1=CC(=CC=C1C=O)Cl,AVPYQKSLYISFPO-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(Cl)cc1,c1ccccc1,train,
66,4-nitrobenzaldehyde,C1=CC(=CC=C1C=O)[N+](=O)[O-],BXRFQSNOROATLV-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1ccc([N+](=O)[O-])cc1,c1ccccc1,train,
67,"(2R,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,GZCGUPFRVQAUEE-SLPGGIOYSA-N,aliphatic,,O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__C([C@H]([C@H]([C@@H]([C@H](C=O)O)O)O)O)O,train,
68,2-ethylbutanal,CCC(CC)C=O,UNNGUFMVYQJGTD-UHFFFAOYSA-N,aliphatic,,CCC(C=O)CC,__no_ring__CCC(CC)C=O,train,
69,(4-formyl-2-methoxyphenyl) 2-methylpropanoate,CC(C)C(=O)OC1=C(C=C(C=C1)C=O)OC,BGKAKRUFBSTALK-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)ccc1OC(=O)C(C)C,c1ccccc1,train,
70,undec-10-enal,C=CCCCCCCCCC=O,OFHHDSQXFXLTKC-UHFFFAOYSA-N,aliphatic,,C=CCCCCCCCCC=O,__no_ring__C=CCCCCCCCCC=O,test,
71,3-methoxybenzaldehyde,COC1=CC=CC(=C1)C=O,WMPDAIZRQDCGFH-UHFFFAOYSA-N,aromatic_carbo,,COc1cccc(C=O)c1,c1ccccc1,train,
72,1H-pyrrole-2-carbaldehyde,C1=CNC(=C1)C=O,ZSKGQVFRTSEPJT-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc[nH]1,c1cc[nH]c1,train,
73,2-methylpentanal,CCCC(C)C=O,FTZILAQGHINQQR-UHFFFAOYSA-N,aliphatic,,CCCC(C)C=O,__no_ring__CCCC(C)C=O,validation,
74,2-methylundecanal,CCCCCCCCCC(C)C=O,NFAVNWJJYQAGNB-UHFFFAOYSA-N,aliphatic,,CCCCCCCCCC(C)C=O,__no_ring__CCCCCCCCCC(C)C=O,validation,
75,(4-formyl-2-methoxyphenyl) acetate,CC(=O)OC1=C(C=C(C=C1)C=O)OC,PZSJOBKRSVRODF-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)ccc1OC(C)=O,c1ccccc1,train,
76,5-methylthiophene-2-carbaldehyde,CC1=CC=C(S1)C=O,VAUMDUIUEPIGHM-UHFFFAOYSA-N,aromatic_hetero,,Cc1ccc(C=O)s1,c1ccsc1,train,
77,4-(dimethylamino)benzaldehyde,CN(C)C1=CC=C(C=C1)C=O,BGNGWHSBYQYVRX-UHFFFAOYSA-N,aromatic_carbo,,CN(C)c1ccc(C=O)cc1,c1ccccc1,train,
78,"4-hydroxy-3,5-dimethoxybenzaldehyde",COC1=CC(=CC(=C1O)OC)C=O,KCDXJAYRVLXPFO-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)cc(OC)c1O,c1ccccc1,train,
79,4-formylbenzoic acid,C1=CC(=CC=C1C=O)C(=O)O,GOUHYARYYWKXHS-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(C(=O)O)cc1,c1ccccc1,train,
80,"2,3,4-trihydroxybenzaldehyde",C1=CC(=C(C(=C1C=O)O)O)O,CRPNQSVBEWWHIJ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(O)c(O)c1O,c1ccccc1,train,
81,3-hydroxybenzaldehyde,C1=CC(=CC(=C1)O)C=O,IAVREABSGIHHMO-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cccc(O)c1,c1ccccc1,train,
82,"(3R)-3,7-dimethyloct-6-enal",C[C@H](CCC=C(C)C)CC=O,NEHNMFOYXAPHSD-SNVBAGLBSA-N,aliphatic,,CC(C)=CCC[C@@H](C)CC=O,__no_ring__C[C@H](CCC=C(C)C)CC=O,test,
83,"2,4,6-trimethylbenzaldehyde",CC1=CC(=C(C(=C1)C)C=O)C,HIKRJHFHGKZKRI-UHFFFAOYSA-N,aromatic_carbo,,Cc1cc(C)c(C=O)c(C)c1,c1ccccc1,train,
84,2-hydroxy-6-[[2-(2-propan-2-ylpyrazol-3-yl)-3-pyridinyl]methoxy]benzaldehyde,CC(C)N1C(=CC=N1)C2=C(C=CC=N2)COC3=CC=CC(=C3C=O)O,FWCVZAQENIZVMY-UHFFFAOYSA-N,aromatic_carbo,,CC(C)n1nccc1-c1ncccc1COc1cccc(O)c1C=O,c1ccc(OCc2cccnc2-c2ccn[nH]2)cc1,train,
85,"3,4,5,6,6,7-hexachloropentacyclo[6.3.0.02,4.03,7.05,9]undecane-10-carbaldehyde",C1C(C2C3C1C4C5(C2(C(C3(C45Cl)Cl)(Cl)Cl)Cl)Cl)C=O,HCTWZIFNBBCVGM-UHFFFAOYSA-N,aliphatic,,O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl,C1CC2C3C1C1CC3C3C1C23,validation,
86,pyridine-2-carbaldehyde,C1=CC=NC(=C1)C=O,CSDSSGBPEUDDEE-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccccn1,c1ccncc1,train,
87,"(2S,3R,4S,5R)-2,3,4,5-tetrahydroxy-6-oxohexanoic acid",C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O,IAJILQKETJEXLJ-RSJOWCBRSA-N,aliphatic,,O=C[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)C(=O)O,__no_ring__C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O,test,
88,"(3-hydroxy-4-methoxycarbonyl-2,5-dimethylphenyl) 3-formyl-2,4-dihydroxy-6-methylbenzoate",CC1=CC(=C(C(=C1C(=O)OC2=C(C(=C(C(=C2)C)C(=O)OC)O)C)O)C=O)O,YLOYKYXNDHOHHT-UHFFFAOYSA-N,aromatic_carbo,,COC(=O)c1c(C)cc(OC(=O)c2c(C)cc(O)c(C=O)c2O)c(C)c1O,O=C(Oc1ccccc1)c1ccccc1,train,
89,dec-4-enal,CCCCCC=CCCC=O,CWRKZMLUDFBPAO-UHFFFAOYSA-N,aliphatic,,CCCCCC=CCCC=O,__no_ring__CCCCCC=CCCC=O,validation,
90,3-(4-hydroxy-3-methoxyphenyl)propanal,COC1=C(C=CC(=C1)CCC=O)O,KIEATOGEYUWTSR-UHFFFAOYSA-N,aliphatic,,COc1cc(CCC=O)ccc1O,c1ccccc1,train,
91,4-oxobutanoic acid,C(CC(=O)O)C=O,UIUJIQZEACWQSV-UHFFFAOYSA-N,aliphatic,,O=CCCC(=O)O,__no_ring__C(CC(=O)O)C=O,test,
92,"(2R)-2,3-dihydroxypropanal",C([C@H](C=O)O)O,MNQZXJOMYWMBOU-VKHMYHEASA-N,aliphatic,,O=C[C@H](O)CO,__no_ring__C([C@H](C=O)O)O,train,
93,4-methylpentanal,CC(C)CCC=O,JGEGJYXHCFUMJF-UHFFFAOYSA-N,aliphatic,,CC(C)CCC=O,__no_ring__CC(C)CCC=O,validation,
94,3-methylhexanal,CCCC(C)CC=O,ZSJUABCTGCNBPF-UHFFFAOYSA-N,aliphatic,,CCCC(C)CC=O,__no_ring__CCCC(C)CC=O,train,
95,(Z)-hex-3-enal,CC/C=C\CC=O,GXANMBISFKBPEX-ARJAWSKDSA-N,aliphatic,,CC/C=C\CC=O,__no_ring__CC/C=C\CC=O,train,
96,2-chlorobenzaldehyde,C1=CC=C(C(=C1)C=O)Cl,FPYUJUBAXZAQNL-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1Cl,c1ccccc1,train,
97,"(2R,3S,4R)-2,3,4,5-tetrahydroxypentanal",C([C@H]([C@@H]([C@H](C=O)O)O)O)O,PYMYPHUHKUWMLA-VPENINKCSA-N,aliphatic,,O=C[C@H](O)[C@@H](O)[C@H](O)CO,__no_ring__C([C@H]([C@@H]([C@H](C=O)O)O)O)O,validation,
98,"3,5,5-trimethylhexanal",CC(CC=O)CC(C)(C)C,WTPYRCJDOZVZON-UHFFFAOYSA-N,aliphatic,,CC(CC=O)CC(C)(C)C,__no_ring__CC(CC=O)CC(C)(C)C,train,
99,4-ethoxybenzaldehyde,CCOC1=CC=C(C=C1)C=O,JRHHJNMASOIRDS-UHFFFAOYSA-N,aromatic_carbo,,CCOc1ccc(C=O)cc1,c1ccccc1,train,
100,1-benzofuran-2-carbaldehyde,C1=CC=C2C(=C1)C=C(O2)C=O,ADDZHRRCUWNSCS-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1cc2ccccc2o1,c1ccc2occc2c1,train,
101,"3,7-dimethyloctanal",CC(C)CCCC(C)CC=O,UCSIFMPORANABL-UHFFFAOYSA-N,aliphatic,,CC(C)CCCC(C)CC=O,__no_ring__CC(C)CCCC(C)CC=O,test,
102,2-methoxybenzaldehyde,COC1=CC=CC=C1C=O,PKZJLOCLABXVMC-UHFFFAOYSA-N,aromatic_carbo,,COc1ccccc1C=O,c1ccccc1,train,
103,"2,4-dimethylbenzaldehyde",CC1=CC(=C(C=C1)C=O)C,GISVICWQYMUPJF-UHFFFAOYSA-N,aromatic_carbo,,Cc1ccc(C=O)c(C)c1,c1ccccc1,train,
104,cyclohex-3-ene-1-carbaldehyde,C1CC(CC=C1)C=O,DCFDVJPDXYGCOK-UHFFFAOYSA-N,aliphatic,,O=CC1CC=CCC1,C1=CCCCC1,train,
105,"3,4,5-trimethoxybenzaldehyde",COC1=CC(=CC(=C1OC)OC)C=O,OPHQOIGEOHXOGX-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)cc(OC)c1OC,c1ccccc1,train,
106,benzyl (2S)-2-[(2S)-2-formylpyrrolidine-1-carbonyl]pyrrolidine-1-carboxylate,C1C[C@H](N(C1)C(=O)[C@@H]2CCCN2C(=O)OCC3=CC=CC=C3)C=O,ORZXYSPOAVJYRU-HOTGVXAUSA-N,aliphatic,,O=C[C@@H]1CCCN1C(=O)[C@@H]1CCCN1C(=O)OCc1ccccc1,O=C([C@@H]1CCCN1C(=O)OCc1ccccc1)N1CCCC1,validation,
107,2-nitrobenzaldehyde,C1=CC=C(C(=C1)C=O)[N+](=O)[O-],CMWKITSNTDAEDT-UHFFFAOYSA-N,aromatic_carbo,nitro,O=Cc1ccccc1[N+](=O)[O-],c1ccccc1,train,
108,4-(diethylamino)benzaldehyde,CCN(CC)C1=CC=C(C=C1)C=O,MNFZZNNFORDXSV-UHFFFAOYSA-N,aromatic_carbo,,CCN(CC)c1ccc(C=O)cc1,c1ccccc1,train,
109,"3,5-ditert-butyl-4-hydroxybenzaldehyde",CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)C=O,DOZRDZLFLOODMB-UHFFFAOYSA-N,aromatic_carbo,,CC(C)(C)c1cc(C=O)cc(C(C)(C)C)c1O,c1ccccc1,train,
110,2-hydroxy-3-methoxybenzaldehyde,COC1=CC=CC(=C1O)C=O,JJVNINGBHGBWJH-UHFFFAOYSA-N,aromatic_carbo,,COc1cccc(C=O)c1O,c1ccccc1,train,
111,"2-[(1R)-2,2,3-trimethylcyclopent-3-en-1-yl]acetaldehyde",CC1=CC[C@@H](C1(C)C)CC=O,OGCGGWYLHSJRFY-SECBINFHSA-N,aliphatic,,CC1=CC[C@H](CC=O)C1(C)C,C1=CCCC1,train,
112,"5-chloro-2,4-dihydroxy-6-methyl-3-[(2E,4E)-3-methyl-5-[(1R,2R,6R)-1,2,6-trimethyl-3-oxocyclohexyl]penta-2,4-dienyl]benzaldehyde",C[C@@H]1CCC(=O)[C@@H]([C@@]1(C)/C=C/C(=C/CC2=C(C(=C(C(=C2O)Cl)C)C=O)O)/C)C,SETVRSKZJJWOPA-FLDGXQSCSA-N,aromatic_carbo,,CC(/C=C/[C@@]1(C)[C@H](C)CCC(=O)[C@@H]1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O,O=C1CCCC(/C=C/C=C/Cc2ccccc2)C1,train,
113,"(2S,3S,4R,5R)-2,3,4,5,6-pentahydroxyhexanal",C([C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O)O,GZCGUPFRVQAUEE-KVTDHHQDSA-N,aliphatic,,O=C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__C([C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O)O,test,
114,"3,4,5-trihydroxybenzaldehyde",C1=C(C=C(C(=C1O)O)O)C=O,RGZHEOWNTDJLAQ-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc(O)c(O)c(O)c1,c1ccccc1,train,
115,"(2S,3R,4R)-2,3,4,5-tetrahydroxypentanal",C([C@H]([C@H]([C@@H](C=O)O)O)O)O,PYMYPHUHKUWMLA-WDCZJNDASA-N,aliphatic,,O=C[C@@H](O)[C@H](O)[C@H](O)CO,__no_ring__C([C@H]([C@H]([C@@H](C=O)O)O)O)O,train,
116,"2,5-dihydroxybenzaldehyde",C1=CC(=C(C=C1O)C=O)O,CLFRCXCBWIQVRN-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1cc(O)ccc1O,c1ccccc1,train,
