id,donor_ikey,scaffold_split
195723,WZYRMLAWNVOIEX-KIFFQIORSA-N,train
182759,UDHOHGAOTPMJPG-UHFFFAOYSA-N,train
116582,IFEUPCYOBQTWRH-IENPIDJESA-N,train
216339,VXMVRYAEPUDOEG-UHFFFAOYSA-N,test
208922,AACMUNPHQGDUNH-UHFFFAOYSA-N,test
88729,HPWYEOBTBQQIAU-UWVGGRQHSA-N,train
44617,AYBGOAUHDVOQBR-UHFFFAOYSA-N,validation
25552,ZSJOVUGBPPFONP-UHFFFAOYSA-N,validation
120852,LQAIGMDYPNTYOM-WDZFZDKYSA-N,train
218223,XGYGHXMCMADXEK-UHFFFAOYSA-N,validation
20270,RFPHESBJNCAMHQ-QMMMGPOBSA-N,train
23921,CNPMSUPIRHIVPC-UHFFFAOYSA-N,test
18720,HCHMYHAUFOSVKX-UHFFFAOYSA-N,validation
112434,ZURZPPULRFXVLF-WHFBIAKZSA-N,test
27691,OCDZBJSPHIMBAT-YFKPBYRVSA-N,train
109137,RNRXOJVNGVIIBM-AATRIKPKSA-N,validation
151439,SHORBIAYPPHHDS-UHFFFAOYSA-N,train
113524,RNYKBGPUMKIOKJ-WYDVEAGSSA-N,train
128719,QWUALODRIXAQPL-UHFFFAOYSA-N,validation
101550,HNQGFRXYJNZELW-UHFFFAOYSA-N,validation
27125,NSANIYIDZABQES-UHFFFAOYSA-N,test
18294,ZDIXAXQAYLPDBT-UHFFFAOYSA-N,train
214292,RIUCFPHNUSWQAN-UHFFFAOYSA-N,validation
202102,KPDKSDHXZBWZDL-SSDOTTSWSA-N,train
210974,VPVMWKGSICGKCH-UHFFFAOYSA-N,validation
11524,ROJGRMNQJIINDW-UHFFFAOYSA-N,train
117055,LXQITBUPIJPYML-LDRYSYKRSA-N,validation
25347,UPIDIAPSVYEALR-SQXHDICFSA-N,validation
122985,OVVMPNYGYJTEFB-NXEZZACHSA-N,validation
218794,DYRSYXLBKVGAQI-UHFFFAOYSA-N,train
26146,BEPKEBCFIFYSAX-IHBLQFBFSA-N,train
112918,IMSSGDVNJMNVSU-OUAUKWLOSA-N,validation
151227,ZJNDAGULLAZAMP-UHFFFAOYSA-N,train
214452,BZJZNWITGHLLAY-UHFFFAOYSA-N,test
206992,FNWDXNIGYWJYHW-UHFFFAOYSA-N,train
81347,RDCZEKVRPDLMRU-HTQZYQBOSA-N,train
18572,RDTUZVGQLJVWCG-UHFFFAOYSA-N,test
88299,AEBXPJGBYKFFBB-UHFFFAOYSA-N,validation
43783,HCQISUFWFYMWKK-KCDKBNATSA-N,train
198036,YCMHHFKPUYXSRC-UHFFFAOYSA-N,train
8138,YJWJGLQYQJGEEP-LURJTMIESA-N,validation
27737,QMXTXBBSNIAUJZ-UHFFFAOYSA-N,train
6822,XWNOCINUJAJTTH-UHFFFAOYSA-N,train
154804,OBEFVLKLUZMGFO-UHFFFAOYSA-N,train
129411,BGQNYUNPURGDDX-HCWXCVPCSA-N,train
220239,HFHWGZZAHMKSBX-UHFFFAOYSA-N,validation
207271,IGZCETKZMROMDP-UHFFFAOYSA-N,validation
50018,SDZIFJXXOHCZSG-UHFFFAOYSA-N,train
217959,WUMWKKWRPYBOSY-UHFFFAOYSA-N,train
137217,LPRJDGHCTJTOTG-UHFFFAOYSA-N,train
113596,JMGPUKGNYNDWNY-SECBINFHSA-N,train
217106,JJXRIYXBUXLZAM-RXMQYKEDSA-N,train
218800,SYSLTISRIOEUSJ-CPQOCIIQSA-N,test
145890,FPMAZRBAGMKADS-UHFFFAOYSA-N,train
201939,LNFLVEXTFKHPDY-UHFFFAOYSA-N,test
110007,ACAIPJDCZDFTAQ-UHFFFAOYSA-N,train
12619,QPMCUNAXNMSGTK-GSVOUGTGSA-N,validation
118107,KFOXHAIQBBYNBQ-MROZADKFSA-N,validation
12689,JYPFTOPPKDHQEW-STHAYSLISA-N,train
111770,MYFSBXJFCUTRPU-UHFFFAOYSA-N,test
6747,LABWFKZNXLWHGQ-GASJEMHNSA-N,train
151285,SSOKUUPPXZCVFU-UHFFFAOYSA-N,train
205544,JSBSBOIAHOITDX-UHFFFAOYSA-N,train
108248,PPYXZYBDOYAUHH-UHFFFAOYSA-N,validation
216625,CRMTXBNMIRLAMX-WHOHXGKFSA-N,validation
210018,UWWGHYQLJGKUJH-UHFFFAOYSA-N,validation
112722,LLUCOEAWZXMKGC-UHFFFAOYSA-N,train
104621,MZWVYWLKPCENEY-UHFFFAOYSA-N,validation
23544,PCMAGGCVCMXDTQ-UHFFFAOYSA-N,test
209149,ZFZXRNVTYVRULM-BQBZGAKWSA-N,train
84154,IGDKXZDQMLUVGR-UHFFFAOYSA-N,train
94268,ZIIXYAZSNIMKOY-UHFFFAOYSA-N,train
136878,WISYFBXTQPUPFL-UHFFFAOYSA-N,validation
216375,XXKVIKKAAFQJMX-UHFFFAOYSA-N,test
29465,XHOFTJRCBBQRFB-UXBLZVDNSA-N,train
117364,MXLPBZVVEYEVQS-XVNBXDOJSA-N,test
4828,HTUHYXDEKCWDCI-WAYWQWQTSA-N,train
23706,WIONJPYWBSGVQT-UHFFFAOYSA-N,train
112807,PFGZVZXEMKCGLF-ZETCQYMHSA-N,train
63961,YEGNNABIUSELRC-UHFFFAOYSA-N,train
25808,ZGXWZFGATSODLU-BQBZGAKWSA-N,validation
53822,GUPXPOFBENGZHL-UHFFFAOYSA-N,train
92845,SSSOMZIOSFMHRZ-UHFFFAOYSA-N,train
27192,AWEIMGNZOWXDBS-BGPJRJDNSA-N,validation
47302,BVVXAZUONXKORS-UHFFFAOYSA-N,test
24095,QKLCDIWSWLCHNQ-UHFFFAOYSA-N,train
118118,XMZCXDHDZDLJBC-VQVTYTSYSA-N,train
12282,YVJQVHFFHIITFN-UHFFFAOYSA-N,train
215032,APLKDVVMXSJRMV-UHFFFAOYSA-N,test
111422,DTNMQMCPSWMVOK-UHFFFAOYSA-N,validation
109327,KXDDDNKGVUBFQS-UWVGGRQHSA-N,train
27220,LXFNPYDGIUBMPX-UHFFFAOYSA-N,test
203720,LWRPWVCWSCHACF-UHFFFAOYSA-N,train
209094,JGNGDWDHTUVQIJ-UHFFFAOYSA-N,train
112630,MHIYKJZWMBPRAS-UHFFFAOYSA-N,train
118133,BDIPVMGANYGOFI-LUTQBAROSA-N,test
27122,BANSZXXJENVRAT-SLPGGIOYSA-N,train
211745,RFDSJBMHTRDRBW-SSDOTTSWSA-N,test
21717,YGEHCIVVZVBCLE-NIKVEEOSSA-N,train
4942,PRMCTXHFPWJOSP-UHFFFAOYSA-N,train
122447,VJYFMQREUJXCQV-NFJWQWPMSA-N,train
26367,UEIUDAARHDZAKR-UHFFFAOYSA-N,train
121500,HXAVUXZNXHWIKN-AOZRHXBJSA-N,validation
110549,JXTYRDJTLWYJMU-UHNVWZDZSA-N,validation
92423,BJDFTFSYRVOATL-UHFFFAOYSA-N,train
49072,YROWRIDHPMKTLH-UHFFFAOYSA-N,train
22255,VEVHRUHHMAZBRX-MRVPVSSYSA-N,validation
15635,QDNMPANFDIRVRG-QTBDOELSSA-N,validation
145806,BLHMRTRCNHYNFJ-UHFFFAOYSA-N,train
15527,DSWUJEOJRVGAOW-UHFFFAOYSA-N,validation
200119,IMMJWPQKSWXNNC-UHFFFAOYSA-N,train
113540,CCMHKWPNIQOQER-QMMMGPOBSA-N,train
82508,JNIYQTLVPLZUTR-UHFFFAOYSA-N,train
210733,HQVGJDICFYFLKI-UHFFFAOYSA-N,train
34761,OKRGDAOKPWPZNS-UHFFFAOYSA-N,validation
54186,AZRVEKRRNRDCND-UHFFFAOYSA-N,train
117550,RKQJNKVKJYCUEN-UHFFFAOYSA-N,test
70833,LWSILSHHBGYGGH-QYNFOATHSA-N,test
64653,CLGBYBHCQLFTEH-UHFFFAOYSA-N,train
212155,BFCSRJVCNXWHSA-UHFFFAOYSA-N,train
24187,GUOSTFSNOVCYQE-UHFFFAOYSA-N,train
8656,UMEJBWOWZDRULR-ZJUUUORDSA-N,train
219867,FBWRAIMEARSGFX-UHFFFAOYSA-N,train
98987,NIVVKCBJXJMLPO-UHFFFAOYSA-N,train
24134,UIRPTEVVNFVKCS-UHFFFAOYSA-N,test
215804,UJGYSOUSSLZXIH-UHFFFAOYSA-N,train
15450,OJBVKTGJVJESJJ-WCTZXXKLSA-N,validation
25734,PWGCXMRFKHCNES-ZJUUUORDSA-N,test
181774,MBIOVHVEIPBHBR-UHFFFAOYSA-N,train
73347,NJYXSKVOTDPOAT-VAYJURFESA-N,validation
15166,PTQGFDXPHNRDCV-WHFBIAKZSA-N,train
33293,GXMYZEDBPYMAEQ-UHFFFAOYSA-N,validation
171366,PZZHULFIPYLALU-VIFPVBQESA-N,train
213820,IVUBVNXUBAITBY-SNVBAGLBSA-N,test
125902,CAJPFXULFOIYGH-UHFFFAOYSA-N,train
17719,ACLCZPCTIIRMGJ-UHFFFAOYSA-N,test
203007,NCLLFDSAQNWDJG-DCAQKATOSA-N,train
86968,QVCLTKDHKUFGPQ-UHFFFAOYSA-N,train
208691,MPLGIGIOVUTMJA-BDAKNGLRSA-N,train
122632,SVRZLCWIWSDMBL-UHFFFAOYSA-N,test
200073,GQKMBIOXFXUQNM-UHFFFAOYSA-N,train
108782,GLNQOYSTMOFRHJ-UHFFFAOYSA-N,train
21803,JKRWMDBJVRLYAR-GSVOUGTGSA-N,validation
201924,HPJNBJLIQOTNML-UHFFFAOYSA-N,train
18798,XTUGCPBNKRXCMG-UHFFFAOYSA-N,train
148518,WZRMFIROSHXUJB-LLVKDONJSA-N,test
119279,GLZSYEJGVUPEPD-CKHSKJMOSA-N,test
18299,WLZJJFLDKKTBED-UHFFFAOYSA-N,train
111312,LEYSVOVBFRYWLY-IUCAKERBSA-N,train
21387,VHNLTWFOWWICND-UHFFFAOYSA-N,train
59013,MKZKOAXVMSEICB-UHFFFAOYSA-N,train
219153,ILCLBXHUHVIWMD-UHFFFAOYSA-N,test
110491,ZSKFFIRHQIZDKL-CIUDSAMLSA-N,test
120183,YIIDTAUNLNKHPV-FNORWQNLSA-N,train
18959,QZCSTOOMPLSSJG-UHFFFAOYSA-N,train
72976,FCSPREHKPCCYFF-UHFFFAOYSA-N,train
56661,DLOCNAJVFWACMM-GSVOUGTGSA-N,train
73167,IXUXQSSBIBWOSN-GSVOUGTGSA-N,test
148353,NTBYIQWZAVDRHA-SLPGGIOYSA-N,train
33558,BHKZGMICOOIVPE-UHFFFAOYSA-N,test
216463,JJMYAPICIXGTJF-UHFFFAOYSA-N,test
253,MMCDSVCBSAMNPL-HJWRWDBZSA-N,test
211255,XABJPUWFUKGZHJ-UHFFFAOYSA-N,test
20236,YGQZHKCOUPLXTD-UHFFFAOYSA-N,validation
220479,PSVPZRHKRRBGFX-UHFFFAOYSA-N,validation
204457,GTHYJUTWZUOUIL-UHFFFAOYSA-N,validation
209025,UMXABFSMEDUYTK-UHFFFAOYSA-N,train
217924,IACLBMMVWXKDMR-UHFFFAOYSA-N,train
212436,BXSNVUXLLVARNK-PXYINDEMSA-N,train
109815,VAIKTXWFMQAHMV-UHFFFAOYSA-N,test
25459,ZZWCZVKPIXUMCY-UHFFFAOYSA-N,train
70271,DSDRVOZZKYOPQL-UHFFFAOYSA-N,train
220342,HWRQRNUZLAQLRF-UHFFFAOYSA-N,validation
26245,QITFYRWXWLBOON-JKUQZMGJSA-N,test
27219,MKLQXPYMPFZNFD-UIISKDMLSA-N,train
16518,OAIHIZJTNUIXNU-UHFFFAOYSA-N,validation
25826,MMODARXIJRCRGL-LURJTMIESA-N,validation
49739,KRRBSFKQZPKNNQ-DPYQTVNSSA-N,validation
216028,PLJDPCKBUDCRQP-UHFFFAOYSA-N,train
96277,UZILZVLSVCDVQJ-UHFFFAOYSA-N,test
117884,PSVJFHQAEQVUTO-LMVFSUKVSA-N,validation
19239,FLTGKRAXBIHWTK-DAFODLJHSA-N,test
216258,DHMBYQMPPJKSNF-UHFFFAOYSA-N,train
161687,WVMDULGGXQFFPT-UHFFFAOYSA-N,train
197400,BRJUIRRQTMVHEP-QMMMGPOBSA-N,train
184561,QVPOKMAOTOPMMB-UHFFFAOYSA-N,train
80578,ZYXROVAADBWOQJ-UHFFFAOYSA-N,train
218558,NDKPKDICNGMPRY-UHFFFAOYSA-N,test
212053,OEUWOLFETAHAGM-UHFFFAOYSA-N,train
122480,IKAVQRGOEKZQNT-JDUUOCRZSA-N,train
846,BSABBBMNWQWLLU-GSVOUGTGSA-N,validation
51660,AHCPZDWQRMPSOM-SSDOTTSWSA-N,validation
73796,SYONNNFXHGACTD-UHFFFAOYSA-N,test
15159,RMOSBNZNUFONRP-VKHMYHEASA-N,test
2832,OEQRZPWMXXJEKU-UHFFFAOYSA-N,train
111809,KQQJYHCUOOXFMP-UHFFFAOYSA-N,train
810,GEKRISJWBAIIAA-UHFFFAOYSA-N,train
184515,HLELJJLHWKGWGR-UHFFFAOYSA-N,train
48074,UVKQQAWIFSAQKU-MROZADKFSA-N,train
12850,VOSYWBFRXUHESA-IDKOKCKLSA-N,train
219961,FKBFREUFSGUTDT-UHFFFAOYSA-N,train
65054,CMLYNMGULQGGIA-BGPJRJDNSA-N,validation
112248,DBFOMVJCNICSLH-UHFFFAOYSA-N,train
52261,OEYGHYCEAORKOE-UHFFFAOYSA-N,train
16383,MWJDECFURLKSSP-UHFFFAOYSA-N,test
74086,GONHWTJCHOTGTA-UHFFFAOYSA-N,train
8323,OZGRFPZYTKHWMZ-UHFFFAOYSA-N,validation
5366,HIQSWLVZAOEUPK-UHFFFAOYSA-N,train
58538,FEIBMGDSMPUPSF-UHFFFAOYSA-N,train
17407,LGYNIFWIKSEESD-MRVPVSSYSA-N,train
101644,CMCMYYNACAJNTB-UHFFFAOYSA-N,train
145980,CNNDCLHTRTXSKK-UHFFFAOYSA-N,train
109609,UTZDSSCUZVIWQI-VIFPVBQESA-N,train
22273,UVPKLUFXYWEITO-UHFFFAOYSA-N,test
91907,SRMIUYJTICXMDX-UHFFFAOYSA-N,train
182881,MIYIBNUSNNBCOO-GOOGBFEESA-N,train
98704,ZOYWHFBVFQYLBG-UHFFFAOYSA-N,train
96678,GTOZXVUGQMLLBH-ZETCQYMHSA-N,train
27135,WREYCOWOVXGZLW-RVJQKOHUSA-N,train
53629,ROQHKWRNTPSMHC-UHFFFAOYSA-N,test
185641,JZCSPUQCVWTQFY-UHFFFAOYSA-N,train
212082,HXFXGLDYDRZKAC-IEESLHIDSA-N,test
134299,HIPSWGZFCDBXHP-UHFFFAOYSA-N,test
8491,BCPSFKBPHHBDAI-UHFFFAOYSA-N,train
126194,LMXQZMBVKYXFJJ-GSVOUGTGSA-N,validation
111681,SNNCXVNCWUJLFN-VIFPVBQESA-N,validation
64797,PQFMBJVIGVJJGY-UHFFFAOYSA-N,test
37467,DMVFLHBVSOFFBQ-UHFFFAOYSA-N,train
26031,LWAFWXQBKVQPLJ-UHFFFAOYSA-N,test
14453,VCUILRLOJMHSMR-YTLHQDLWSA-N,test
15235,IPGFUSWVIQFWJB-UHFFFAOYSA-N,train
115051,JEYXXVGCDYHLSB-FTZBPAMFSA-N,validation
211854,YGNLVHGLJDVIJS-UHFFFAOYSA-N,train
6819,YUZOKOFJOOANSW-LURJTMIESA-N,test
220031,PMIYGCYWAPAWSN-UHFFFAOYSA-N,validation
118288,WYCNUMBEEQGOAQ-YWIQKCBGSA-N,test
220691,YUQNESDVETZYHO-UHFFFAOYSA-N,validation
72813,OOWIEMMUONVAAF-HZLVTQRSSA-N,test
26964,SLYBRYXJOHULJH-BDVNFPICSA-N,validation
209209,HPJLSKVTEQAKGW-UHFFFAOYSA-N,train
117249,FBTZESZXMSNMBP-UCVXFZOQSA-N,train
109236,HQSOLRBHGJZPST-SFYZADRCSA-N,train
74349,KHQJYCHDNWTYEY-UHFFFAOYSA-N,train
15273,VQUZNVATTCZTQO-NUNKFHFFSA-N,train
123671,ABWNVIKBVMWYAP-UHFFFAOYSA-N,train
26157,RQRVMSIARGXSFL-MOJAZDJTSA-N,train
8597,WZYRMLAWNVOIEX-BGPJRJDNSA-N,train
219084,FFXQLZAVBWCXQR-UHFFFAOYSA-N,train
83697,ZVHADKJTOOKQCB-UHFFFAOYSA-N,validation
215375,LYWLXAXIADNYEZ-UHFFFAOYSA-N,validation
8330,YSGPYVWACGYQDJ-UHFFFAOYSA-N,train
201407,KCHFYKPIADOPBJ-VGMNWLOBSA-N,validation
26388,QLOPCUSAJYNOBR-UHFFFAOYSA-N,validation
24040,BVUPQDDXKMCWQH-UHFFFAOYSA-N,train
112132,UVESOBQGXDRMMI-UHFFFAOYSA-N,train
211865,RPFVLPSWUWAGIE-UHFFFAOYSA-N,train
118202,FLGSUXUFTBZSDJ-UHFFFAOYSA-N,test
146743,UJAGGMIICVNMMF-UHFFFAOYSA-N,validation
112462,RSHCFFAQYBYYGI-VWDOSNQTSA-N,train
34813,DGJAEYIZIUUWSJ-UHFFFAOYSA-N,validation
15243,UJZAWQINJHZMNV-UHFFFAOYSA-N,validation
123374,XRVVKQHWAOWSOY-RXMQYKEDSA-N,test
134283,BMLISQQRYHCIAH-UHFFFAOYSA-N,train
120359,ZOUMWSWELLCBAC-XQRVVYSFSA-N,train
211894,NDHFELQZFKVGIE-UHFFFAOYSA-N,test
118384,LJETUHAGNKIBHP-HXFLIBJXSA-N,validation
39348,OALKSMPELBSVLA-UHFFFAOYSA-N,train
203722,ABXZWXFKRQUWFB-UHFFFAOYSA-N,train
186603,NFYDBCYKKLYMTQ-UHFFFAOYSA-N,validation
14964,NMPVNCCANBILIA-XVMARJQXSA-N,validation
48523,UWMFLQOENBPJKS-UHFFFAOYSA-N,train
213539,VHWGANRNJCEEDU-UYXSQOIJSA-N,train
218131,QOFHDOXJENPPFO-UHFFFAOYSA-N,train
10660,KUADEIPKYZMRBG-UHFFFAOYSA-N,test
54677,DLJWUOKHZVFTQL-UHFFFAOYSA-N,train
181799,BEEMPBGIBRXQFW-UHFFFAOYSA-N,train
211692,XRNSSRFHTPNBTN-UHFFFAOYSA-N,validation
112093,BTBMTHDPJBWLBW-UHFFFAOYSA-N,train
23623,RPXFCHAKTPUTND-UHFFFAOYSA-N,train
204856,NOQCSSAEKDLHCI-UHFFFAOYSA-N,train
151165,WXKOAJCJTKRLKB-UHFFFAOYSA-N,train
201425,RBMROWIDLAREAW-GMCFVEKCSA-N,train
25373,WMLTZMMFXZJZLH-UHFFFAOYSA-N,train
201511,CCQUVWLNRINWBW-UHFFFAOYSA-N,validation
110541,WRMWPMGWABLVNI-JAJWTYFOSA-N,train
27465,LHUAHCXMIIUKPJ-UHFFFAOYSA-N,train
34915,HBSSZJKGTPJLKX-MROZADKFSA-N,train
16060,LCQPKXSKRXVVMA-UHFFFAOYSA-N,train
112665,XKDBCTYHTOZWOQ-YHYXMXQVSA-N,validation
148478,JSPZRKPZOCGZNH-REOHCLBHSA-N,train
214568,ROGHJVYLZVCZJV-UHFFFAOYSA-N,validation
29688,LNECIKHIUGKOEZ-LNFKQOIKSA-N,validation
20980,JRXXEUZUAXNTFJ-UHFFFAOYSA-N,test
73912,GDVKZDJVWRTAQH-UHFFFAOYSA-N,train
15,NBBJYMSMWIIQGU-UHFFFAOYSA-N,test
18869,PEZVBJKPOYUZMG-UHFFFAOYSA-N,test
26213,PPZINBOJQNMXLR-NAXOPYRSSA-N,train
215687,LCIOULREYSZZRU-ALURDMBKSA-N,train
23296,CRBGTXDFEDFKSU-UHFFFAOYSA-N,train
119762,OVPXWCACSURXRK-YHMJZVADSA-N,train
220597,IBJZNSBIAUSULI-UHFFFAOYSA-N,validation
14996,GEYWNKDRHKUEJL-LXGUWJNJSA-N,validation
218971,IFZJXZDOECGKIH-UHFFFAOYSA-N,test
88287,CIQKNUTULPXUPC-UHFFFAOYSA-N,test
118161,JCUWVCYIBAMTDG-UHFFFAOYSA-N,train
112655,RUUYSDTWYQEVBU-UHFFFAOYSA-N,test
11399,QUWHGSSMZMPEGW-UHFFFAOYSA-N,train
205604,XVFRGXVASKFOEB-UHFFFAOYSA-N,train
117963,WPQAXLKTCJSEPZ-UHFFFAOYSA-N,test
112374,OPCMCVUMSDVWPG-UHFFFAOYSA-N,test
129896,BZZSIOJZEJZRRX-UHFFFAOYSA-N,train
216963,NQKDCBLYSKGMNE-LURJTMIESA-N,test
113092,OXGJGUBSNXDUQZ-ZJUUUORDSA-N,train
12612,QUHZZQYUXGSDCQ-YUMQZZPRSA-N,validation
4437,KBSVAZCLQHOLKP-UHFFFAOYSA-N,test
217529,SRJOAYBTJXSWDD-UHFFFAOYSA-N,test
121119,WGPWLIONJRZIRE-UWVGGRQHSA-N,test
118235,ADAUKLBBKSPVHE-UHFFFAOYSA-N,test
146535,JYFXSVQTGJBIKZ-UHFFFAOYSA-N,train
23107,MQTHUXQLMJSVGN-UHFFFAOYSA-N,train
26022,MGINABZJHWZHEC-UHFFFAOYSA-N,test
19253,RDZXOFANRXUGCA-VKHMYHEASA-N,train
23021,WRWLNLBWBJEUPI-UHFFFAOYSA-N,train
209338,KKNPUXNUUXPPIY-UHFFFAOYSA-N,test
211500,PWYGPBPQEOHHPW-UHFFFAOYSA-N,train
112521,KYZZEHNZYIBZMF-UHFFFAOYSA-N,train
27851,KCPBRZSTCIPDLY-UHFFFAOYSA-N,validation
93483,KKHYFNCRNOYDQO-UHFFFAOYSA-N,train
32916,JRYJOJWGAMCMTQ-UHFFFAOYSA-N,validation
151261,VTDAKEHMGGGDDA-UHFFFAOYSA-N,train
15247,LMHKDVPFDHNVFB-XAVMHZPKSA-N,train
209652,VACMEXQEFQJRSB-RUDMXATFSA-N,train
144081,LEICXENDXUUDMF-UHFFFAOYSA-N,train
112225,LXWSIOALASMHLT-UHFFFAOYSA-N,train
182889,MPBKFULMMPIWGR-QMMMGPOBSA-N,train
108265,CMBFUCBVFHPRED-UHFFFAOYSA-N,train
77262,VXENNCPYUUNOTB-UHFFFAOYSA-N,train
43629,DRJORTIMIUXGPV-ARQDHWQXSA-N,train
2455,ASJSAQIRZKANQN-UHFFFAOYSA-N,test
118769,COOPVYPQMRXUHU-OOJXKGFFSA-N,validation
15269,GPIFJZBDHMKDSK-UHFFFAOYSA-N,train
120076,GHPXQCZVPWVHGV-FNORWQNLSA-N,validation
18907,ICIMLYMQTZHSJX-UHFFFAOYSA-N,train
202960,GISUEEUBHDIQAS-UHFFFAOYSA-N,train
34409,CCRAAMLHYYECLE-UHFFFAOYSA-N,validation
217573,PRIWRFDACWRBON-UHFFFAOYSA-N,train
110881,JCABDBLLHKEXQE-UHFFFAOYSA-N,validation
112720,PXABZYNELBINGD-MRVPVSSYSA-N,train
49524,QSXXVUIPARKVJE-MQWKRIRWSA-N,train
5829,AUABNXZOGNPUSY-VWYCJHECSA-N,train
208372,RTMVZAZNAONVCQ-UHFFFAOYSA-N,train
35745,OCDHOBZCXZPRPO-DMTCNVIQSA-N,train
115261,SIFYSLXKTLZHHZ-ZETCQYMHSA-N,test
112274,ABJXJSDKRHRPID-UHFFFAOYSA-N,test
140248,MQYHZSPQOPZMID-UHFFFAOYSA-N,train
22903,FNFGGXQSVOJINC-UHFFFAOYSA-N,validation
170983,OGKTYHFGVMFNPW-JGVFFNPUSA-N,train
218036,LOHRBNBOKKLOLI-UHFFFAOYSA-N,train
123868,JKLZMCNRUSESHS-UHFFFAOYSA-N,train
74241,KQRXEQPHXJGWGQ-IUYQGCFVSA-N,train
24758,YGWWHSDLAVXFLY-UHFFFAOYSA-N,train
117576,LJJRZXQRUPLWJR-WNJXEPBRSA-N,test
55487,OFBUXXWDASRPOO-UHFFFAOYSA-N,validation
8716,XUXJFAKOMGZKPK-UHFFFAOYSA-N,train
111823,KYKXXXNIMFSGGR-STUBTGCMSA-N,train
1540,UZFFFFWQKMPLAC-ONEGZZNKSA-N,test
72103,XLVQITNCUQLDLF-UHFFFAOYSA-N,validation
120960,DEGPNPNYHFVYEQ-MRVPVSSYSA-N,train
111668,RMFIMAKVJBLLCM-ZKXNXJMVSA-N,test
162986,OMWMUWOMNNTXNF-UHFFFAOYSA-N,test
206887,PLSOKLIZFKARMK-IHWYPQMZSA-N,train
23806,MUKQRIORUXMVIO-CLVBZSDCSA-N,test
40746,YOSAIASTLCWKDG-UHFFFAOYSA-N,train
